run_id,arm,device,scenario,concurrency,run_duration_s,num_requests,num_completed,num_errors,error_rate,requests_per_s,output_tok_s,total_tok_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,tpot_max_ms,e2e_p50_ms,e2e_p99_ms,input_tokens_mean,output_tokens_mean,time_unit,source,running_batch_mean,preemptions,engine_steps,sm_mhz_mean
20260920T004731,miniserve,NVIDIA L40S,"D(1024,256)",1,120.204,109,109,0,0,0.907,174.6,865.7,29.307,30.162,31.26,4.164,4.167,4.167,1091.173,1092.905,1013.012,256.0,ms,D1024_256_text-to-text_num_concurrency_1_time_120s.json,1.0,0,28001,2520.0
20260920T004731,miniserve,NVIDIA L40S,"D(1024,256)",32,120.283,1240,1240,0,0,10.309,1979.3,9809.2,69.34,188.883,224.078,11.526,11.661,11.905,3009.24,3132.037,1012.688,256.0,ms,D1024_256_text-to-text_num_concurrency_32_time_120s.json,30.86,0,10392,2496.85
20260920T004731,miniserve,NVIDIA L40S,"D(1024,256)",256,120.675,1792,1792,0,0,14.85,2851.2,14131.4,270.31,394.218,457.958,60.891,61.658,61.86,15798.704,16047.181,1012.836,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,248.52,0,1954,2471.93
20260920T005504,sglang,NVIDIA L40S,"D(1024,256)",1,120.199,182,182,0,0,1.514,291.8,1446.3,16.222,17.119,17.48,2.476,3.039,4.347,647.594,791.465,1012.964,256.0,ms,D1024_256_text-to-text_num_concurrency_1_time_120s.json,,,,2520.0
20260920T005504,sglang,NVIDIA L40S,"D(1024,256)",32,120.851,1385,1385,0,0,11.46,2200.9,10908.3,275.404,349.85,727.164,9.083,14.417,14.599,2570.13,3912.221,1012.795,256.0,ms,D1024_256_text-to-text_num_concurrency_32_time_120s.json,,,,2468.47
20260920T005504,sglang,NVIDIA L40S,"D(1024,256)",256,122.06,1792,1792,0,0,14.681,2818.8,13970.6,1969.854,2712.799,2877.307,54.885,62.766,63.576,15949.034,17752.184,1012.793,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,,,,2441.92
20260920T010247,sglang,NVIDIA L40S,"D(1024,256)",1,120.208,153,153,0,0,1.273,244.9,1213.7,15.931,16.656,17.663,2.476,12.185,19.631,647.544,3123.028,1012.643,256.0,ms,D1024_256_text-to-text_num_concurrency_1_time_120s.json,,,,2520.0
20260920T010247,sglang,NVIDIA L40S,"D(1024,256)",32,120.745,1322,1322,0,0,10.949,2103.2,10424.1,277.581,354.78,1689.065,9.118,19.644,19.921,2581.52,5271.393,1012.808,256.0,ms,D1024_256_text-to-text_num_concurrency_32_time_120s.json,,,,2468.59
20260920T010247,sglang,NVIDIA L40S,"D(1024,256)",256,122.196,1536,1536,0,0,12.57,2413.4,11962.3,1994.091,2688.248,4175.665,56.581,67.436,67.89,16414.415,19205.254,1012.876,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,,,,2442.25
20260920T010959,miniserve,NVIDIA L40S,"D(1024,256)",1,120.194,109,109,0,0,0.907,174.7,865.1,29.843,30.897,32.274,4.161,4.167,4.168,1091.273,1093.64,1012.098,256.0,ms,D1024_256_text-to-text_num_concurrency_1_time_120s.json,1.0,0,27985,2520.0
20260920T010959,miniserve,NVIDIA L40S,"D(1024,256)",32,120.327,1242,1242,0,0,10.322,1982.9,9827.8,71.003,192.638,216.641,11.541,11.698,11.962,3013.96,3138.478,1012.835,256.0,ms,D1024_256_text-to-text_num_concurrency_32_time_120s.json,30.89,0,10388,2486.43
20260920T010959,miniserve,NVIDIA L40S,"D(1024,256)",256,120.987,1806,1806,0,0,14.927,2867.1,14209.1,353.769,3514.899,3863.354,60.803,67.575,68.613,15886.393,19406.579,1012.728,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,219.53,0,2176,2471.3
20260920T011706,miniserve,NVIDIA L40S,"D(1024,256)",1,120.203,109,109,0,0,0.907,174.6,865.3,29.869,30.634,32.022,4.162,4.166,4.166,1091.361,1092.519,1012.5,256.0,ms,D1024_256_text-to-text_num_concurrency_1_time_120s.json,1.0,0,27983,2520.0
20260920T011706,miniserve,NVIDIA L40S,"D(1024,256)",32,120.305,1237,1237,0,0,10.282,1974.7,9786.7,60.554,199.51,225.525,11.595,11.692,11.7,3020.146,3152.477,1012.739,256.0,ms,D1024_256_text-to-text_num_concurrency_32_time_120s.json,30.8,0,10365,2489.58
20260920T011706,miniserve,NVIDIA L40S,"D(1024,256)",256,120.981,1806,1806,0,0,14.928,2867.2,14209.8,275.733,430.08,527.65,60.933,65.648,66.722,15827.269,17004.122,1012.727,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,230.07,0,2089,2476.25
20260920T012443,sglang,NVIDIA L40S,"D(1024,256)",1,120.19,177,177,0,0,1.473,283.3,1404.1,18.03,18.887,21.475,2.476,3.373,8.33,649.508,1186.515,1012.85,256.0,ms,D1024_256_text-to-text_num_concurrency_1_time_120s.json,,,,2520.0
20260920T012443,sglang,NVIDIA L40S,"D(1024,256)",32,120.641,1410,1410,0,0,11.688,2245.1,11126.1,289.605,327.952,559.8,9.02,11.227,11.55,2559.721,3139.806,1012.68,256.0,ms,D1024_256_text-to-text_num_concurrency_32_time_120s.json,,,,2476.48
20260920T012443,sglang,NVIDIA L40S,"D(1024,256)",256,122.598,1805,1805,0,0,14.723,2827.2,14011.1,1996.135,2653.165,2818.376,54.717,59.197,59.728,15853.458,17092.114,1012.648,255.99,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,,,,2453.86
