run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,sm_mhz_mean,git_commit
20260920T000612,0,policy_cache,policy,0.0,512,557056,14368,40960,2103.46,4050.93,2394.69,2012.22,2566.6,4446.6,2590.3,4357.9,8.15,31.23,32.15,3224.5,4.456,111104,0.8006,445952,0,1,132,120,2048,55.63,10.0,25.46,True,True,cache,2494.5,ab7059fd8f9a
20260920T000612,1,policy_sjf,policy,0.0,512,557056,14368,40960,2944.26,5951.95,750.43,3721.82,3527.4,6437.1,4312.8,1657.5,26.12,27.39,166.92,2228.4,6.448,306034,0.4545,253200,3,1,153,184,2048,44.41,13.51,23.43,True,True,sjf,2358.21,ab7059fd8f9a
20260920T000612,2,policy_fcfs,policy,0.0,512,557056,14368,40960,3093.76,5878.75,3214.3,3080.15,3625.6,6359.2,3631.6,6278.5,26.17,27.47,28.08,2248.2,6.391,294544,0.4712,262512,2,1,139,195,2048,42.45,15.5,21.38,True,True,fcfs,2326.15,ab7059fd8f9a
20260920T000612,3,policy_fcfs,policy,0.0,512,557056,14368,40960,3094.01,5872.18,3213.61,3080.37,3624.6,6352.4,3630.6,6271.6,26.06,27.46,28.31,2250.6,6.384,294544,0.4712,262512,2,1,139,195,2048,42.45,15.5,21.33,True,True,fcfs,2417.14,ab7059fd8f9a
20260920T000612,4,policy_sjf,policy,0.0,512,557056,14368,40960,2942.24,5955.16,741.48,3723.23,3525.7,6440.6,4313.3,1650.0,25.82,27.75,166.5,2227.2,6.451,306034,0.4545,253200,3,1,153,184,2048,44.41,13.51,23.46,True,True,sjf,2334.23,ab7059fd8f9a
20260920T000612,5,policy_cache,policy,0.0,512,557056,14368,40960,2090.69,4034.15,2379.93,2000.91,2552.5,4430.0,2576.1,4341.3,8.16,31.03,32.02,3236.5,4.439,111104,0.8006,445952,0,1,132,120,2048,55.63,10.02,25.33,True,True,cache,2485.5,ab7059fd8f9a
20260920T000612,6,policy_cache,policy,0.0,512,557056,14368,40960,2096.74,4035.43,2387.79,2006.37,2557.8,4430.6,2581.3,4341.8,8.13,31.27,32.22,3236.2,4.44,111104,0.8006,445952,0,1,132,120,2048,55.63,10.0,25.34,True,True,cache,2487.0,ab7059fd8f9a
20260920T000612,7,policy_sjf,policy,0.0,512,557056,14368,40960,2950.92,5959.94,742.96,3727.02,3530.2,6447.7,4318.7,1653.3,26.05,27.81,167.43,2224.8,6.458,306034,0.4545,253200,3,1,153,184,2048,44.41,13.51,23.49,True,True,sjf,2355.0,ab7059fd8f9a
20260920T000612,8,policy_fcfs,policy,0.0,512,557056,14368,40960,3113.81,5901.19,3234.34,3099.86,3644.6,6382.2,3650.6,6301.5,26.11,27.45,28.03,2240.1,6.414,294544,0.4712,262512,2,1,139,195,2048,42.45,15.53,21.46,True,True,fcfs,2345.77,ab7059fd8f9a
20260920T000737,0,policy_cache,policy,0.0,512,557056,14368,102400,2102.84,4042.14,2390.79,2012.25,2564.3,4441.6,2588.0,4352.7,8.15,31.79,32.06,3228.1,4.451,111104,0.8006,445952,0,1,132,120,2048,55.63,10.02,25.39,True,True,cache,2452.5,ab7059fd8f9a
20260920T000737,1,policy_sjf,policy,0.0,512,557056,14368,102400,2503.77,4693.41,721.24,3154.69,2976.6,5196.3,3598.6,1561.3,26.37,29.16,30.1,2719.9,5.282,100640,0.8193,456416,0,1,127,144,2048,51.09,11.9,25.7,True,True,sjf,2463.75,ab7059fd8f9a
20260920T000737,2,policy_fcfs,policy,0.0,512,557056,14368,102400,2819.07,5330.47,2979.75,2792.61,3442.0,5821.1,3473.4,5743.1,26.47,28.16,30.1,2456.8,5.848,99840,0.8208,457216,0,1,60,203,2048,43.17,15.25,23.97,True,True,fcfs,2478.46,ab7059fd8f9a
20260920T000737,3,policy_fcfs,policy,0.0,512,557056,14368,102400,2816.33,5313.91,2976.85,2789.97,3435.0,5805.3,3466.4,5727.4,26.41,27.81,29.53,2463.4,5.833,99840,0.8208,457216,0,1,60,203,2048,43.17,15.22,23.89,True,True,fcfs,2470.0,ab7059fd8f9a
20260920T000737,4,policy_sjf,policy,0.0,512,557056,14368,102400,2505.93,4696.25,718.24,3158.46,2978.3,5199.1,3601.5,1562.4,26.39,29.23,30.27,2718.5,5.285,100640,0.8193,456416,0,1,127,144,2048,51.09,11.89,25.74,True,True,sjf,2483.75,ab7059fd8f9a
20260920T000737,5,policy_cache,policy,0.0,512,557056,14368,102400,2101.45,4040.21,2389.69,2010.98,2562.7,4438.5,2586.3,4349.6,8.12,31.7,32.0,3230.4,4.448,111104,0.8006,445952,0,1,132,120,2048,55.63,10.02,25.37,True,True,cache,2460.0,ab7059fd8f9a
20260920T000737,6,policy_cache,policy,0.0,512,557056,14368,102400,2099.88,4054.55,2394.85,2008.82,2568.7,4452.0,2592.3,4363.1,8.14,31.12,32.16,3220.6,4.461,111104,0.8006,445952,0,1,132,120,2048,55.63,10.04,25.47,True,True,cache,2451.0,ab7059fd8f9a
20260920T000737,7,policy_sjf,policy,0.0,512,557056,14368,102400,2482.84,4663.63,711.76,3130.51,2955.2,5165.9,3573.7,1546.9,26.24,29.05,30.01,2735.8,5.252,100640,0.8193,456416,0,1,127,144,2048,51.09,11.87,25.54,True,True,sjf,2480.45,ab7059fd8f9a
20260920T000737,8,policy_fcfs,policy,0.0,512,557056,14368,102400,2808.34,5297.19,2968.65,2781.99,3424.5,5786.8,3455.9,5709.0,26.34,27.77,29.46,2471.3,5.814,99840,0.8208,457216,0,1,60,203,2048,43.17,15.18,23.83,True,True,fcfs,2471.54,ab7059fd8f9a
20260920T000859,0,policy_cache,policy,0.0,512,557056,14368,353936,2058.86,3961.42,2342.29,1971.51,2512.0,4352.9,2535.2,4263.9,8.15,30.81,31.5,3293.8,4.362,111104,0.8006,445952,0,1,132,120,2048,55.63,9.94,24.77,True,True,cache,2419.5,ab7059fd8f9a
20260920T000859,1,policy_sjf,policy,0.0,512,557056,14368,353936,2477.32,4630.07,718.54,3118.07,2941.9,5127.4,3554.3,1549.2,25.82,29.63,30.52,2755.8,5.214,100640,0.8193,456416,0,1,127,144,2048,51.09,11.85,25.28,True,True,sjf,2480.0,ab7059fd8f9a
20260920T000859,2,policy_fcfs,policy,0.0,512,557056,14368,353936,2776.23,5234.66,2936.46,2750.32,3387.1,5716.6,3418.2,5638.6,25.97,29.35,30.15,2501.5,5.744,99840,0.8208,457216,0,1,60,203,2048,43.17,15.07,23.52,True,True,fcfs,2457.69,ab7059fd8f9a
20260920T000859,3,policy_fcfs,policy,0.0,512,557056,14368,353936,2774.67,5228.64,2932.39,2748.74,3383.6,5710.8,3414.6,5632.7,25.95,29.31,30.23,2504.0,5.738,99840,0.8208,457216,0,1,60,203,2048,43.17,15.04,23.49,True,True,fcfs,2484.23,ab7059fd8f9a
20260920T000859,4,policy_sjf,policy,0.0,512,557056,14368,353936,2478.5,4640.38,714.92,3122.54,2945.4,5138.8,3560.1,1545.7,25.92,29.52,30.57,2749.9,5.225,100640,0.8193,456416,0,1,127,144,2048,51.09,11.88,25.36,True,True,sjf,2469.55,ab7059fd8f9a
20260920T000859,5,policy_cache,policy,0.0,512,557056,14368,353936,2078.72,3989.42,2363.03,1989.53,2531.8,4383.0,2555.2,4294.2,8.15,30.93,31.6,3271.2,4.392,111104,0.8006,445952,0,1,132,120,2048,55.63,10.0,24.95,True,True,cache,2484.0,ab7059fd8f9a
20260920T000859,6,policy_cache,policy,0.0,512,557056,14368,353936,2085.66,4003.32,2371.98,1995.79,2540.8,4397.6,2564.2,4308.5,8.18,30.99,32.11,3260.3,4.407,111104,0.8006,445952,0,1,132,120,2048,55.63,10.0,25.07,True,True,cache,2451.0,ab7059fd8f9a
20260920T000859,7,policy_sjf,policy,0.0,512,557056,14368,353936,2481.75,4648.59,716.94,3126.35,2950.4,5147.7,3565.8,1550.3,26.06,29.31,30.35,2745.2,5.234,100640,0.8193,456416,0,1,127,144,2048,51.09,11.89,25.39,True,True,sjf,2479.09,ab7059fd8f9a
20260920T000859,8,policy_fcfs,policy,0.0,512,557056,14368,353936,2791.67,5266.05,2952.61,2765.38,3406.1,5751.2,3437.3,5673.2,26.14,29.12,29.91,2486.4,5.779,99840,0.8208,457216,0,1,60,203,2048,43.17,15.13,23.67,True,True,fcfs,2471.25,ab7059fd8f9a
