run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,sm_mhz_mean,git_commit
20260920T000400,0,policy_cache,policy,0.0,64,69632,1808,6144,383.48,664.88,383.48,383.48,552.1,837.1,572.6,748.2,5.56,26.36,27.27,2159.8,0.837,15248,0.781,54384,1,1,88,13,2048,18.2,6.7,14.75,True,True,cache,2512.5,ab7059fd8f9a
20260920T000400,1,policy_sjf,policy,0.0,64,69632,1808,6144,849.86,1834.05,222.6,1077.93,1089.4,2036.4,1329.6,466.2,5.4,25.41,125.14,873.3,2.07,40338,0.4212,31504,2,4,254,26,2048,6.53,6.21,13.92,True,True,sjf,2512.5,ab7059fd8f9a
20260920T000400,2,policy_fcfs,policy,0.0,64,69632,1808,6144,936.9,1821.29,1165.66,936.52,1143.1,2097.2,1158.4,1777.8,5.4,25.29,25.8,861.0,2.1,39936,0.4265,29696,0,1,254,31,2048,6.41,6.53,12.5,True,True,fcfs,2517.5,ab7059fd8f9a
20260920T000400,3,policy_fcfs,policy,0.0,64,69632,1808,6144,936.27,1820.43,1165.62,935.9,1143.0,2096.2,1158.2,1777.1,5.4,25.35,25.55,861.4,2.099,39936,0.4265,29696,0,1,254,31,2048,6.41,6.53,12.48,True,True,fcfs,2515.0,ab7059fd8f9a
20260920T000400,4,policy_sjf,policy,0.0,64,69632,1808,6144,848.47,1831.84,222.21,1076.07,1087.8,2033.7,1327.8,465.0,5.39,25.22,125.15,874.4,2.068,40338,0.4212,31504,2,4,254,26,2048,6.53,6.21,13.89,True,True,sjf,2512.5,ab7059fd8f9a
20260920T000400,5,policy_cache,policy,0.0,64,69632,1808,6144,382.12,662.16,382.12,382.12,550.2,834.5,570.8,745.6,5.58,25.91,27.31,2166.7,0.834,15248,0.781,54384,1,1,88,13,2048,18.2,6.7,14.58,True,True,cache,2508.75,ab7059fd8f9a
20260920T000400,6,policy_cache,policy,0.0,64,69632,1808,6144,380.34,660.97,380.34,380.34,549.0,833.3,569.5,744.3,5.57,26.02,26.88,2169.7,0.833,15248,0.781,54384,1,1,88,13,2048,18.2,6.7,14.53,True,True,cache,2510.0,ab7059fd8f9a
20260920T000400,7,policy_sjf,policy,0.0,64,69632,1808,6144,848.62,1832.02,222.4,1076.37,1088.0,2033.7,1328.0,465.6,5.39,25.27,124.93,874.4,2.068,40338,0.4212,31504,2,4,254,26,2048,6.53,6.21,13.9,True,True,sjf,2512.5,ab7059fd8f9a
20260920T000400,8,policy_fcfs,policy,0.0,64,69632,1808,6144,937.49,1821.94,1166.73,937.04,1143.5,2097.2,1158.8,1778.5,5.4,25.22,26.46,861.0,2.1,39936,0.4265,29696,0,1,254,31,2048,6.41,6.53,12.48,True,True,fcfs,2512.5,ab7059fd8f9a
20260920T000439,0,policy_cache,policy,0.0,64,69632,1808,8192,321.92,573.98,233.3,383.93,492.0,737.2,522.9,660.4,5.91,27.09,27.46,2452.4,0.737,15840,0.7725,53792,1,1,73,12,2048,21.1,6.71,15.95,True,True,cache,2510.0,ab7059fd8f9a
