run_id,device,target_model,draft_model,prompts,num_prompts,gamma,alpha,tokens_per_round,rounds,output_tokens,git_commit
20260921T014840,NVIDIA L40S,8B,0.6B,text,6,2,0.6677,2.325,228,1136,eb919c1a9947
20260921T014840,NVIDIA L40S,8B,0.6B,text,6,4,0.5611,3.219,159,1152,eb919c1a9947
20260921T014840,NVIDIA L40S,8B,0.6B,text,6,6,0.4397,3.587,143,1136,eb919c1a9947
20260921T014840,NVIDIA L40S,8B,0.6B,random,8,2,0.5959,2.19,66,1024,eb919c1a9947
20260921T014840,NVIDIA L40S,8B,0.6B,random,8,4,0.4305,2.687,57,1024,eb919c1a9947
20260921T014840,NVIDIA L40S,8B,0.6B,random,8,6,0.3294,2.93,57,1024,eb919c1a9947
20260921T014840,NVIDIA L40S,8B,same,text,6,2,0.9948,2.966,171,1136,eb919c1a9947
20260921T014840,NVIDIA L40S,8B,same,text,6,4,0.9936,4.918,103,1152,eb919c1a9947
20260921T014840,NVIDIA L40S,8B,same,text,6,6,0.991,6.807,74,1136,eb919c1a9947
20260921T014840,NVIDIA L40S,8B,same,random,8,2,0.9867,2.965,43,1024,eb919c1a9947
20260921T014840,NVIDIA L40S,8B,same,random,8,4,0.9854,4.879,27,1024,eb919c1a9947
20260921T014840,NVIDIA L40S,8B,same,random,8,6,0.9581,6.656,20,1024,eb919c1a9947
