run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,block_backend,target_model,draft_model,spec_gamma,spec_alpha,spec_tokens_per_round,sm_mhz_mean,git_commit
20260921T022722,0,default,unique,0.0,8,4096,1024,65536,10839.0,20547.44,,10839.0,13868.1,24439.0,13868.1,,23.84,24.17,24.54,41.5,24.655,4096,0.0,0,0,8,1016,0,2048,1.0,23.84,,True,True,fcfs,python,8B,,0,,,2503.72,eb919c1a9947
20260921T022722,1,default,unique,0.0,8,4096,1024,65536,10839.32,20546.43,,10839.32,13867.9,24437.9,13867.9,,23.84,24.09,24.53,41.5,24.654,4096,0.0,0,0,8,1016,0,2048,1.0,23.84,,True,True,fcfs,python,8B,,0,,,2516.49,eb919c1a9947
20260921T023108,0,default,unique,0.0,8,4096,1024,65536,5028.06,9971.29,,5028.06,8241.6,13184.8,8241.6,,25.3,25.87,26.01,77.7,13.185,4096,0.0,0,0,4,508,0,2048,2.0,25.3,,True,True,fcfs,python,8B,,0,,,2514.81,eb919c1a9947
20260921T023108,1,default,unique,0.0,8,4096,1024,65536,5031.05,9977.44,,5031.05,8244.7,13190.7,8244.7,,25.29,25.74,26.17,77.6,13.191,4096,0.0,0,0,4,508,0,2048,2.0,25.3,,True,True,fcfs,python,8B,,0,,,2515.96,eb919c1a9947
20260921T023429,0,default,unique,0.0,16,8192,2048,65536,5348.71,10531.83,,5348.71,8638.0,13821.0,8638.0,,25.88,26.57,26.85,148.2,13.821,8192,0.0,0,0,4,508,0,2048,4.0,25.89,,True,True,fcfs,python,8B,,0,,,2473.33,eb919c1a9947
20260921T023429,1,default,unique,0.0,16,8192,2048,65536,5348.85,10532.44,,5348.85,8638.3,13821.9,8638.3,,25.88,26.37,26.9,148.2,13.822,8192,0.0,0,0,4,508,0,2048,4.0,25.89,,True,True,fcfs,python,8B,,0,,,2484.44,eb919c1a9947
20260921T023907,0,default,unique,0.0,32,16384,4096,65536,5985.18,11744.81,,5985.18,9535.9,15230.8,9535.9,,27.23,28.14,154.13,268.9,15.231,16384,0.0,0,0,1,505,11,2048,7.96,27.65,92.05,True,True,fcfs,python,8B,,0,,,2507.07,eb919c1a9947
20260921T023907,1,default,unique,0.0,32,16384,4096,65536,5986.74,11747.32,,5986.74,9537.5,15233.6,9537.5,,27.24,28.07,154.79,268.9,15.234,16384,0.0,0,0,1,505,11,2048,7.96,27.65,92.2,True,True,fcfs,python,8B,,0,,,2436.5,eb919c1a9947
20260921T034053,0,default,unique,0.0,8,4096,1024,65536,10835.82,20540.6,,10835.82,13863.8,24431.4,13863.8,,23.84,24.05,24.44,41.5,24.647,4096,0.0,0,0,8,1016,0,2048,1.0,23.83,,True,True,fcfs,python,8B,,0,,,2517.81,a2421630ffaf
20260921T034053,1,default,unique,0.0,8,4096,1024,65536,10836.04,20541.54,,10836.04,13864.4,24432.6,13864.4,,23.84,24.04,24.48,41.5,24.648,4096,0.0,0,0,8,1016,0,2048,1.0,23.83,,True,True,fcfs,python,8B,,0,,,2512.02,a2421630ffaf
20260921T034436,0,default,unique,0.0,8,4096,1024,65536,5024.85,9969.4,,5024.85,8238.1,13182.1,8238.1,,25.28,25.66,26.19,77.7,13.182,4096,0.0,0,0,4,508,0,2048,2.0,25.29,,True,True,fcfs,python,8B,,0,,,2517.69,a2421630ffaf
20260921T034436,1,default,unique,0.0,8,4096,1024,65536,5028.11,9973.25,,5028.11,8241.1,13185.9,8241.1,,25.29,25.72,26.16,77.7,13.186,4096,0.0,0,0,4,508,0,2048,2.0,25.29,,True,True,fcfs,python,8B,,0,,,2445.0,a2421630ffaf
20260921T034839,0,default,unique,0.0,16,8192,2048,65536,5345.03,10526.33,,5345.03,8633.4,13814.7,8633.4,,25.88,26.26,26.85,148.2,13.815,8192,0.0,0,0,4,508,0,2048,4.0,25.88,,True,True,fcfs,python,8B,,0,,,2471.25,a2421630ffaf
20260921T034839,1,default,unique,0.0,16,8192,2048,65536,5344.11,10523.86,,5344.11,8632.1,13812.0,8632.1,,25.88,26.27,26.8,148.3,13.812,8192,0.0,0,0,4,508,0,2048,4.0,25.88,,True,True,fcfs,python,8B,,0,,,2500.18,a2421630ffaf
20260921T035307,0,default,unique,0.0,32,16384,4096,65536,5991.46,11753.51,,5991.46,9541.9,15238.8,9541.9,,27.23,28.1,156.31,268.8,15.239,16384,0.0,0,0,1,505,11,2048,7.96,27.64,92.76,True,True,fcfs,python,8B,,0,,,2455.5,a2421630ffaf
20260921T035307,1,default,unique,0.0,32,16384,4096,65536,5993.59,11758.26,,5993.59,9544.7,15244.1,9544.7,,27.23,28.14,156.96,268.7,15.244,16384,0.0,0,0,1,505,11,2048,7.96,27.64,93.15,True,True,fcfs,python,8B,,0,,,2432.0,a2421630ffaf
20260921T035816,0,default,unique,0.0,64,32768,8192,65536,6867.35,13490.88,,6867.35,10849.7,17190.9,10849.7,,28.61,146.47,172.35,476.5,17.191,32768,0.0,0,0,1,499,19,2048,15.92,29.01,128.93,True,True,fcfs,python,8B,,0,,,2417.65,a2421630ffaf
20260921T035816,1,default,unique,0.0,64,32768,8192,65536,6873.44,13500.13,,6873.44,10856.8,17201.5,10856.8,,28.61,147.8,173.0,476.2,17.201,32768,0.0,0,0,1,499,19,2048,15.92,29.02,129.25,True,True,fcfs,python,8B,,0,,,2434.85,a2421630ffaf
20260921T040347,0,default,unique,0.0,128,65536,16384,65536,8532.88,16805.76,,8532.88,13278.1,20755.2,13278.1,,30.61,177.98,181.5,789.4,20.755,65536,0.0,0,0,1,487,35,2048,31.74,30.99,154.02,True,True,fcfs,python,8B,,0,,,2316.75,a2421630ffaf
20260921T040347,1,default,unique,0.0,128,65536,16384,65536,8562.77,16861.57,,8562.77,13318.7,20811.8,13318.7,,30.62,180.56,186.05,787.2,20.812,65536,0.0,0,0,1,487,35,2048,31.74,31.0,155.53,True,True,fcfs,python,8B,,0,,,2316.59,a2421630ffaf
20260921T041043,0,default,unique,0.0,256,131072,32768,65536,12127.27,23711.66,,12127.27,18625.8,28672.8,18625.8,,36.27,183.34,187.09,1141.9,28.696,131072,0.0,0,0,1,463,68,2048,62.8,36.48,169.45,True,True,fcfs,python,8B,,0,,,2225.18,a2421630ffaf
20260921T041043,1,default,unique,0.0,256,131072,32768,65536,12166.32,23795.87,,12166.32,18685.4,28757.8,18685.4,,36.27,184.98,186.36,1138.5,28.782,131072,0.0,0,0,1,463,68,2048,62.8,36.49,170.67,True,True,fcfs,python,8B,,0,,,2172.82,a2421630ffaf
