run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,block_backend,target_model,draft_model,spec_gamma,spec_alpha,spec_tokens_per_round,sm_mhz_mean,git_commit
20260921T022358,0,spec_off,unique,0.0,8,4096,1024,65536,14639.72,27764.27,,14639.72,18754.4,33045.7,18754.4,,32.39,32.72,33.64,30.7,33.338,4096,0.0,0,0,8,1016,0,2048,1.0,32.39,,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2514.38,eb919c1a9947
20260921T022358,1,spec_g2,unique,0.0,8,4096,1024,65536,7068.04,12614.3,,7068.04,8732.5,14564.8,8732.5,,0.0,34.77,39.45,69.8,14.674,4096,0.0,0,0,8,406,0,2048,1.0,34.59,,False,False,fcfs,python,8B,0.6B,2,0.7623,2.502,2517.41,eb919c1a9947
20260921T022358,2,spec_g4,unique,0.0,8,4096,1024,65536,6484.75,10977.21,,6484.75,7824.1,12501.3,7824.1,,0.0,43.19,48.13,81.3,12.588,4096,0.0,0,0,8,278,0,2048,1.0,43.03,,False,False,fcfs,python,8B,0.6B,4,0.6817,3.655,2517.0,eb919c1a9947
20260921T022358,3,spec_g6,unique,0.0,8,4096,1024,65536,7441.03,12057.63,,7441.03,8720.2,13379.7,8720.2,,0.0,52.02,54.47,76.1,13.454,4096,0.0,0,0,8,247,0,2048,1.0,51.93,,False,False,fcfs,python,8B,0.6B,6,0.5358,4.113,2504.44,eb919c1a9947
20260921T022358,4,spec_g6,unique,0.0,8,4096,1024,65536,7439.38,12055.93,,7439.38,8718.4,13378.0,8718.4,,0.0,52.01,53.09,76.1,13.453,4096,0.0,0,0,8,247,0,2048,1.0,51.92,,False,False,fcfs,python,8B,0.6B,6,0.5358,4.113,2516.67,eb919c1a9947
20260921T022358,5,spec_g4,unique,0.0,8,4096,1024,65536,6481.67,10974.32,,6481.67,7820.8,12498.3,7820.8,,0.0,43.14,44.03,81.4,12.585,4096,0.0,0,0,8,278,0,2048,1.0,43.01,,False,False,fcfs,python,8B,0.6B,4,0.6817,3.655,2517.0,eb919c1a9947
20260921T022358,6,spec_g2,unique,0.0,8,4096,1024,65536,7061.27,12608.88,,7061.27,8726.0,14559.2,8726.0,,0.0,34.75,35.29,69.8,14.669,4096,0.0,0,0,8,406,0,2048,1.0,34.58,,False,False,fcfs,python,8B,0.6B,2,0.7623,2.502,2515.86,eb919c1a9947
20260921T022358,7,spec_off,unique,0.0,8,4096,1024,65536,14667.52,27808.84,,14667.52,18784.0,33077.4,18784.0,,32.39,33.3,34.51,30.7,33.368,4096,0.0,0,0,8,1016,0,2048,1.0,32.41,,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2515.95,eb919c1a9947
20260921T022859,0,spec_off,unique,0.0,8,4096,1024,65536,6633.11,13178.05,,6633.11,10912.5,17458.7,10912.5,,33.69,34.16,34.95,58.7,17.459,4096,0.0,0,0,4,508,0,2048,2.0,33.69,,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2518.24,eb919c1a9947
20260921T022859,1,spec_g2,unique,0.0,8,4096,1024,65536,3194.78,6266.53,,3194.78,5023.1,8168.6,5023.1,,0.0,56.03,82.09,124.1,8.251,4096,0.0,0,0,1,214,6,2048,1.84,35.74,81.78,False,False,fcfs,python,8B,0.6B,2,0.7868,2.563,2514.71,eb919c1a9947
20260921T022859,2,spec_g4,unique,0.0,8,4096,1024,65536,3083.33,5965.71,,3083.33,4751.7,7420.0,4751.7,,0.0,66.41,82.14,137.2,7.462,4096,0.0,0,0,1,149,6,2048,1.91,46.04,81.73,False,False,fcfs,python,8B,0.6B,4,0.654,3.556,2500.31,eb919c1a9947
20260921T022859,3,spec_g6,unique,0.0,8,4096,1024,65536,3293.43,6018.94,,3293.43,4794.5,7367.9,4794.5,,0.0,58.72,83.35,137.8,7.43,4096,0.0,0,0,1,124,6,2048,1.86,55.05,82.11,False,False,fcfs,python,8B,0.6B,6,0.5765,4.372,2505.0,eb919c1a9947
20260921T022859,4,spec_g6,unique,0.0,8,4096,1024,65536,3290.66,6014.88,,3290.66,4790.9,7362.4,4790.9,,0.0,57.07,82.42,137.9,7.424,4096,0.0,0,0,1,124,6,2048,1.86,55.02,81.89,False,False,fcfs,python,8B,0.6B,6,0.5765,4.372,2515.31,eb919c1a9947
20260921T022859,5,spec_g4,unique,0.0,8,4096,1024,65536,3080.18,5962.77,,3080.18,4747.6,7412.8,4747.6,,0.0,66.54,82.42,137.4,7.455,4096,0.0,0,0,1,149,6,2048,1.91,45.99,81.99,False,False,fcfs,python,8B,0.6B,4,0.654,3.556,2515.0,eb919c1a9947
20260921T022859,6,spec_g2,unique,0.0,8,4096,1024,65536,3192.96,6265.08,,3192.96,5021.5,8167.5,5021.5,,0.0,56.01,82.21,124.1,8.25,4096,0.0,0,0,1,214,6,2048,1.84,35.73,81.96,False,False,fcfs,python,8B,0.6B,2,0.7868,2.563,2495.29,eb919c1a9947
20260921T022859,7,spec_off,unique,0.0,8,4096,1024,65536,6627.12,13171.35,,6627.12,10906.4,17452.0,10906.4,,33.68,34.06,34.73,58.7,17.452,4096,0.0,0,0,4,508,0,2048,2.0,33.68,,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2518.24,eb919c1a9947
20260921T023211,0,spec_off,unique,0.0,16,8192,2048,65536,6815.9,13461.74,,6815.9,11082.7,17730.4,11082.7,,33.6,33.99,34.75,115.5,17.73,8192,0.0,0,0,4,508,0,2048,4.0,33.59,,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2518.18,eb919c1a9947
20260921T023211,1,spec_g2,unique,0.0,16,8192,2048,65536,3544.35,7231.68,,3544.35,5719.9,10068.2,5719.9,,0.0,81.87,84.16,200.7,10.204,8192,0.0,0,0,1,238,12,2048,3.52,37.91,82.08,False,False,fcfs,python,8B,0.6B,2,0.6981,2.382,2466.0,eb919c1a9947
20260921T023211,2,spec_g4,unique,0.0,16,8192,2048,65536,3456.14,6896.57,,3456.14,5453.2,10053.4,5453.2,,0.0,82.04,82.61,200.7,10.203,8192,0.0,0,0,1,190,12,2048,3.36,47.49,82.1,False,False,fcfs,python,8B,0.6B,4,0.5399,3.124,2437.86,eb919c1a9947
20260921T023211,3,spec_g6,unique,0.0,16,8192,2048,65536,3325.22,6877.21,,3325.22,5500.7,10242.1,5500.7,,0.0,81.78,83.03,196.8,10.406,8192,0.0,0,0,1,162,12,2048,3.35,56.96,81.95,False,False,fcfs,python,8B,0.6B,6,0.4569,3.683,2514.29,eb919c1a9947
20260921T023211,4,spec_g6,unique,0.0,16,8192,2048,65536,3320.05,6873.73,,3320.05,5495.8,10233.5,5495.8,,0.0,81.86,82.46,197.0,10.397,8192,0.0,0,0,1,162,12,2048,3.35,56.92,81.93,False,False,fcfs,python,8B,0.6B,6,0.4569,3.683,2431.43,eb919c1a9947
20260921T023211,5,spec_g4,unique,0.0,16,8192,2048,65536,3461.93,6908.81,,3461.93,5460.9,10058.5,5460.9,,0.0,82.39,83.24,200.6,10.207,8192,0.0,0,0,1,190,12,2048,3.36,47.48,82.51,False,False,fcfs,python,8B,0.6B,4,0.5399,3.124,2508.75,eb919c1a9947
20260921T023211,6,spec_g2,unique,0.0,16,8192,2048,65536,3536.28,7228.37,,3536.28,5713.5,10053.5,5713.5,,0.0,82.17,82.33,201.0,10.188,8192,0.0,0,0,1,238,12,2048,3.52,37.85,82.09,False,False,fcfs,python,8B,0.6B,2,0.6981,2.382,2458.57,eb919c1a9947
20260921T023211,7,spec_off,unique,0.0,16,8192,2048,65536,6828.93,13487.88,,6828.93,11102.9,17762.8,11102.9,,33.65,34.12,34.89,115.3,17.763,8192,0.0,0,0,4,508,0,2048,4.0,33.64,,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2517.79,eb919c1a9947
20260921T023616,0,spec_off,unique,0.0,32,16384,4096,65536,7100.31,14034.23,,7100.31,11515.5,18368.4,11515.5,,33.61,62.63,168.67,223.0,18.368,16384,0.0,0,0,1,502,11,2048,7.98,33.6,120.44,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2467.08,eb919c1a9947
20260921T023616,1,spec_g2,unique,0.0,32,16384,4096,65536,4188.88,9015.41,,4188.88,6782.0,11481.4,6782.0,,0.0,82.83,193.58,349.6,11.717,16384,0.0,0,0,1,234,23,2048,7.06,40.14,92.64,False,False,fcfs,python,8B,0.6B,2,0.6912,2.365,2450.87,eb919c1a9947
20260921T023616,2,spec_g4,unique,0.0,32,16384,4096,65536,3961.73,9356.89,,3961.73,6654.5,11116.0,6654.5,,0.0,82.79,193.84,366.3,11.183,16384,0.0,0,0,1,166,25,2048,7.48,52.92,88.13,False,False,fcfs,python,8B,0.6B,4,0.5427,3.134,2428.64,eb919c1a9947
20260921T023616,3,spec_g6,unique,0.0,32,16384,4096,65536,3928.53,10126.81,,3928.53,6945.4,11706.9,6945.4,,0.0,83.14,194.53,347.5,11.788,16384,0.0,0,0,1,148,24,2048,7.42,63.65,90.5,False,False,fcfs,python,8B,0.6B,6,0.4347,3.553,2425.0,eb919c1a9947
20260921T023616,4,spec_g6,unique,0.0,32,16384,4096,65536,3919.59,10109.07,,3919.59,6931.4,11683.8,6931.4,,0.0,82.64,192.59,348.2,11.764,16384,0.0,0,0,1,148,24,2048,7.42,63.55,90.16,False,False,fcfs,python,8B,0.6B,6,0.4347,3.553,2402.5,eb919c1a9947
20260921T023616,5,spec_g4,unique,0.0,32,16384,4096,65536,3953.81,9342.44,,3953.81,6643.4,11097.7,6643.4,,0.0,82.67,193.92,366.9,11.164,16384,0.0,0,0,1,166,25,2048,7.48,52.85,87.9,False,False,fcfs,python,8B,0.6B,4,0.5427,3.134,2395.23,eb919c1a9947
20260921T023616,6,spec_g2,unique,0.0,32,16384,4096,65536,4194.99,9026.53,,4194.99,6790.6,11492.9,6790.6,,0.0,82.83,195.16,349.2,11.729,16384,0.0,0,0,1,234,23,2048,7.06,40.16,92.81,False,False,fcfs,python,8B,0.6B,2,0.6912,2.365,2463.12,eb919c1a9947
20260921T023616,7,spec_off,unique,0.0,32,16384,4096,65536,7094.26,14010.74,,7094.26,11495.6,18327.5,11495.6,,33.5,63.07,170.89,223.5,18.327,16384,0.0,0,0,1,502,11,2048,7.98,33.5,121.36,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2466.43,eb919c1a9947
20260921T024033,0,spec_off,unique,0.0,64,32768,8192,65536,7695.25,15159.91,,7695.25,12359.9,19561.9,12359.9,,33.55,167.56,172.4,418.8,19.562,32768,0.0,0,0,1,496,19,2048,15.94,33.53,144.83,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2432.43,eb919c1a9947
20260921T024033,1,spec_g2,unique,0.0,64,32768,8192,65536,5293.79,11339.9,,5293.79,8481.6,14319.9,8481.6,,0.0,134.26,196.34,559.3,14.647,32768,0.0,0,0,1,234,38,2048,13.53,44.23,107.82,False,False,fcfs,python,8B,0.6B,2,0.7077,2.401,2420.36,eb919c1a9947
20260921T024033,2,spec_g4,unique,0.0,64,32768,8192,65536,5144.78,11533.42,,5144.78,8379.8,14465.6,8379.8,,0.0,135.18,197.51,540.0,15.17,32768,0.0,0,0,1,188,38,2048,12.41,57.78,108.05,False,False,fcfs,python,8B,0.6B,4,0.5762,3.257,2324.0,eb919c1a9947
20260921T024033,3,spec_g6,unique,0.0,64,32768,8192,65536,5369.56,12278.68,,5369.56,8872.9,15361.1,8872.9,,0.0,133.86,197.08,515.7,15.885,32768,0.0,0,0,1,159,41,2048,12.79,71.84,104.02,False,False,fcfs,python,8B,0.6B,6,0.4603,3.712,2387.9,eb919c1a9947
20260921T024033,4,spec_g6,unique,0.0,64,32768,8192,65536,5361.99,12272.09,,5361.99,8866.3,15352.3,8866.3,,0.0,133.56,195.39,516.0,15.876,32768,0.0,0,0,1,159,41,2048,12.79,71.81,103.94,False,False,fcfs,python,8B,0.6B,6,0.4603,3.712,2374.35,eb919c1a9947
20260921T024033,5,spec_g4,unique,0.0,64,32768,8192,65536,5128.75,11498.02,,5128.75,8355.0,14429.2,8355.0,,0.0,135.04,196.03,541.3,15.134,32768,0.0,0,0,1,188,38,2048,12.41,57.72,107.5,False,False,fcfs,python,8B,0.6B,4,0.5762,3.257,2386.0,eb919c1a9947
20260921T024033,6,spec_g2,unique,0.0,64,32768,8192,65536,5282.45,11317.48,,5282.45,8464.5,14292.6,8464.5,,0.0,133.61,195.54,560.3,14.62,32768,0.0,0,0,1,234,38,2048,13.53,44.19,107.39,False,False,fcfs,python,8B,0.6B,2,0.7077,2.401,2366.9,eb919c1a9947
20260921T024033,7,spec_off,unique,0.0,64,32768,8192,65536,7703.2,15171.37,,7703.2,12371.3,19576.8,12371.3,,33.61,167.35,172.35,418.5,19.577,32768,0.0,0,0,1,496,19,2048,15.94,33.58,144.23,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2450.13,eb919c1a9947
20260921T033730,0,spec_off,unique,0.0,8,4096,1024,65536,14266.54,27057.86,,14266.54,18275.6,32200.4,18275.6,,31.56,31.92,32.26,31.5,32.484,4096,0.0,0,0,8,1016,0,2048,1.0,31.55,,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2517.82,a2421630ffaf
20260921T033730,1,spec_g2,unique,0.0,8,4096,1024,65536,7046.3,12577.4,,7046.3,8707.4,14523.0,8707.4,,0.0,34.7,39.39,70.0,14.632,4096,0.0,0,0,8,406,0,2048,1.0,34.51,,False,False,fcfs,python,8B,0.6B,2,0.7623,2.502,2486.9,a2421630ffaf
20260921T033730,2,spec_g4,unique,0.0,8,4096,1024,65536,6469.3,10950.18,,6469.3,7805.9,12471.6,7805.9,,0.0,43.05,47.8,81.5,12.558,4096,0.0,0,0,8,278,0,2048,1.0,42.95,,False,False,fcfs,python,8B,0.6B,4,0.6817,3.655,2511.35,a2421630ffaf
20260921T033730,3,spec_g6,unique,0.0,8,4096,1024,65536,7420.04,12024.85,,7420.04,8697.4,13343.9,8697.4,,0.0,51.93,54.18,76.3,13.418,4096,0.0,0,0,8,247,0,2048,1.0,51.83,,False,False,fcfs,python,8B,0.6B,6,0.5358,4.113,2515.0,a2421630ffaf
20260921T033730,4,spec_g6,unique,0.0,8,4096,1024,65536,7418.04,12021.75,,7418.04,8694.6,13340.8,8694.6,,0.0,51.94,52.99,76.3,13.415,4096,0.0,0,0,8,247,0,2048,1.0,51.81,,False,False,fcfs,python,8B,0.6B,6,0.5358,4.113,2514.44,a2421630ffaf
20260921T033730,5,spec_g4,unique,0.0,8,4096,1024,65536,6463.94,10947.3,,6463.94,7801.5,12469.0,7801.5,,0.0,43.06,43.8,81.6,12.556,4096,0.0,0,0,8,278,0,2048,1.0,42.94,,False,False,fcfs,python,8B,0.6B,4,0.6817,3.655,2504.4,a2421630ffaf
20260921T033730,6,spec_g2,unique,0.0,8,4096,1024,65536,7044.94,12578.61,,7044.94,8706.0,14524.4,8706.0,,0.0,34.68,35.41,70.0,14.634,4096,0.0,0,0,8,406,0,2048,1.0,34.51,,False,False,fcfs,python,8B,0.6B,2,0.7623,2.502,2501.38,a2421630ffaf
20260921T033730,7,spec_off,unique,0.0,8,4096,1024,65536,14255.72,27057.7,,14255.72,18268.3,32198.5,18268.3,,31.55,31.94,32.49,31.5,32.482,4096,0.0,0,0,8,1016,0,2048,1.0,31.54,,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2512.5,a2421630ffaf
20260921T034233,0,spec_off,unique,0.0,8,4096,1024,65536,6424.05,12766.26,,6424.05,10570.4,16917.6,10570.4,,32.64,33.06,33.65,60.5,16.918,4096,0.0,0,0,4,508,0,2048,2.0,32.64,,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2518.64,a2421630ffaf
20260921T034233,1,spec_g2,unique,0.0,8,4096,1024,65536,3189.75,6251.41,,3189.75,5013.9,8155.4,5013.9,,0.0,55.08,81.78,124.3,8.238,4096,0.0,0,0,1,214,6,2048,1.84,35.71,80.76,False,False,fcfs,python,8B,0.6B,2,0.7868,2.563,2506.76,a2421630ffaf
20260921T034233,2,spec_g4,unique,0.0,8,4096,1024,65536,3075.92,5949.21,,3075.92,4739.4,7399.8,4739.4,,0.0,65.4,80.81,137.6,7.442,4096,0.0,0,0,1,149,6,2048,1.91,45.97,80.63,False,False,fcfs,python,8B,0.6B,4,0.654,3.556,2470.31,a2421630ffaf
20260921T034233,3,spec_g6,unique,0.0,8,4096,1024,65536,3284.18,5999.8,,3284.18,4781.1,7345.5,4781.1,,0.0,58.79,81.52,138.2,7.407,4096,0.0,0,0,1,124,6,2048,1.86,54.96,80.39,False,False,fcfs,python,8B,0.6B,6,0.5765,4.372,2512.5,a2421630ffaf
20260921T034233,4,spec_g6,unique,0.0,8,4096,1024,65536,3282.35,5999.56,,3282.35,4779.4,7343.6,4779.4,,0.0,57.12,81.16,138.3,7.405,4096,0.0,0,0,1,124,6,2048,1.86,54.94,80.62,False,False,fcfs,python,8B,0.6B,6,0.5765,4.372,2515.31,a2421630ffaf
20260921T034233,5,spec_g4,unique,0.0,8,4096,1024,65536,3073.87,5945.84,,3073.87,4736.2,7392.2,4736.2,,0.0,65.38,80.88,137.7,7.434,4096,0.0,0,0,1,149,6,2048,1.91,45.92,80.61,False,False,fcfs,python,8B,0.6B,4,0.654,3.556,2509.69,a2421630ffaf
20260921T034233,6,spec_g2,unique,0.0,8,4096,1024,65536,3182.92,6244.45,,3182.92,5006.5,8142.8,5006.5,,0.0,55.05,80.84,124.5,8.225,4096,0.0,0,0,1,214,6,2048,1.84,35.66,80.51,False,False,fcfs,python,8B,0.6B,2,0.7868,2.563,2507.65,a2421630ffaf
20260921T034233,7,spec_off,unique,0.0,8,4096,1024,65536,6420.1,12744.91,,6420.1,10551.8,16872.1,10551.8,,32.55,32.99,33.66,60.7,16.872,4096,0.0,0,0,4,508,0,2048,2.0,32.54,,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2506.36,a2421630ffaf
20260921T034545,0,spec_off,unique,0.0,16,8192,2048,65536,6678.41,13194.87,,6678.41,10859.7,17377.7,10859.7,,32.91,33.31,34.08,117.9,17.378,8192,0.0,0,0,4,508,0,2048,4.0,32.9,,False,False,fcfs,python,8B,0.6B,0,0.0,0.0,2466.18,a2421630ffaf
20260921T034545,1,spec_g2,unique,0.0,16,8192,2048,65536,3520.68,7181.36,,3520.68,5683.2,10005.4,5683.2,,0.0,80.11,81.75,202.0,10.141,8192,0.0,0,0,1,238,12,2048,3.52,37.75,80.21,False,False,fcfs,python,8B,0.6B,2,0.6981,2.382,2503.57,a2421630ffaf
20260921T034545,2,spec_g4,unique,0.0,16,8192,2048,65536,3438.67,6857.92,,3438.67,5425.6,10005.2,5425.6,,0.0,80.41,80.76,201.7,10.154,8192,0.0,0,0,1,190,12,2048,3.36,47.35,80.39,False,False,fcfs,python,8B,0.6B,4,0.5399,3.124,2492.14,a2421630ffaf
