run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,block_backend,target_model,draft_model,spec_gamma,spec_alpha,spec_tokens_per_round,sm_mhz_mean,git_commit
20260922T095123,0,default,unique,0.0,8,4096,1024,65536,10825.44,20521.92,,10825.44,13851.0,24409.5,13851.0,,23.82,24.01,24.47,41.6,24.625,4096,0.0,0,0,8,1016,0,2048,1.0,23.81,,True,True,fcfs,python,8B,,0,,,2515.91,e82ee8e8813c
20260922T095123,1,default,unique,0.0,8,4096,1024,65536,10829.61,20528.14,,10829.61,13855.4,24416.3,13855.4,,23.82,24.21,24.45,41.6,24.632,4096,0.0,0,0,8,1016,0,2048,1.0,23.82,,True,True,fcfs,python,8B,,0,,,2509.57,e82ee8e8813c
20260922T100425,0,default,unique,0.0,8,4096,1024,65536,5024.11,9965.6,,5024.11,8235.2,13177.1,8235.2,,25.27,25.83,26.14,77.7,13.177,4096,0.0,0,0,4,508,0,2048,2.0,25.27,,True,True,fcfs,python,8B,,0,,,2501.4,e82ee8e8813c
20260922T100425,1,default,unique,0.0,8,4096,1024,65536,5023.42,9964.21,,5023.42,8234.7,13176.6,8234.7,,25.27,25.87,26.01,77.7,13.177,4096,0.0,0,0,4,508,0,2048,2.0,25.27,,True,True,fcfs,python,8B,,0,,,2507.31,e82ee8e8813c
20260922T101411,0,default,unique,0.0,16,8192,2048,65536,5337.94,10512.54,,5337.94,8623.9,13798.6,8623.9,,25.86,26.22,26.66,148.4,13.799,8192,0.0,0,0,4,508,0,2048,4.0,25.86,,True,True,fcfs,python,8B,,0,,,2461.67,e82ee8e8813c
20260922T101411,1,default,unique,0.0,16,8192,2048,65536,5338.4,10514.15,,5338.4,8624.8,13800.2,8624.8,,25.86,26.23,26.81,148.4,13.8,8192,0.0,0,0,4,508,0,2048,4.0,25.86,,True,True,fcfs,python,8B,,0,,,2496.35,e82ee8e8813c
20260922T102426,0,default,unique,0.0,32,16384,4096,65536,5974.26,11725.66,,5974.26,9521.6,15209.2,9521.6,,27.22,28.18,152.58,269.3,15.209,16384,0.0,0,0,1,505,11,2048,7.96,27.62,91.23,True,True,fcfs,python,8B,,0,,,2462.5,e82ee8e8813c
20260922T102426,1,default,unique,0.0,32,16384,4096,65536,5973.07,11725.28,,5973.07,9520.9,15209.5,9520.9,,27.22,28.07,152.79,269.3,15.21,16384,0.0,0,0,1,505,11,2048,7.96,27.62,91.41,True,True,fcfs,python,8B,,0,,,2495.69,e82ee8e8813c
20260922T103455,0,default,unique,0.0,64,32768,8192,65536,6823.05,13411.16,,6823.05,10792.3,17107.1,10792.3,,28.58,143.23,167.92,478.9,17.107,32768,0.0,0,0,1,499,19,2048,15.92,28.99,125.63,True,True,fcfs,python,8B,,0,,,2416.36,e82ee8e8813c
20260922T103455,1,default,unique,0.0,64,32768,8192,65536,6834.82,13428.43,,6834.82,10806.0,17125.3,10806.0,,28.59,143.79,168.57,478.4,17.125,32768,0.0,0,0,1,499,19,2048,15.92,28.99,126.26,True,True,fcfs,python,8B,,0,,,2405.91,e82ee8e8813c
20260922T104617,0,default,unique,0.0,128,65536,16384,65536,8500.75,16706.63,,8500.75,13216.7,20653.8,13216.7,,30.62,172.95,182.47,793.3,20.654,65536,0.0,0,0,1,487,35,2048,31.74,30.99,151.29,True,True,fcfs,python,8B,,0,,,2333.46,e82ee8e8813c
20260922T104617,1,default,unique,0.0,128,65536,16384,65536,8492.85,16718.75,,8492.85,13221.9,20666.3,13221.9,,30.62,173.99,178.13,792.8,20.666,65536,0.0,0,0,1,487,35,2048,31.74,30.99,151.54,True,True,fcfs,python,8B,,0,,,2324.62,e82ee8e8813c
20260922T110053,0,default,unique,0.0,256,131072,32768,65536,11991.03,23440.61,,11991.03,18434.7,28388.7,18434.7,,36.28,177.86,178.41,1153.3,28.412,131072,0.0,0,0,1,463,68,2048,62.8,36.48,165.28,True,True,fcfs,python,8B,,0,,,2239.81,e82ee8e8813c
20260922T110053,1,default,unique,0.0,256,131072,32768,65536,12020.3,23518.29,,12020.3,18485.4,28470.9,18485.4,,36.28,179.33,179.72,1150.0,28.495,131072,0.0,0,0,1,463,68,2048,62.8,36.49,166.46,True,True,fcfs,python,8B,,0,,,2244.62,e82ee8e8813c
