run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,block_backend,target_model,draft_model,spec_gamma,spec_alpha,spec_tokens_per_round,sm_mhz_mean,git_commit
20260922T100307,0,spec_g4,unique,0.0,8,4096,1024,65536,6457.43,10932.49,,6457.43,7790.3,12449.7,7790.3,,0.0,42.96,44.54,81.7,12.536,4096,0.0,0,0,8,278,0,2048,1.0,42.82,,False,False,fcfs,python,8B,0.6B,4,0.6817,3.655,2516.25,e82ee8e8813c
20260922T100307,1,spec_g4,unique,0.0,8,4096,1024,65536,6456.76,10931.01,,6456.76,7789.6,12448.5,7789.6,,0.0,43.09,44.18,81.7,12.535,4096,0.0,0,0,8,278,0,2048,1.0,42.82,,False,False,fcfs,python,8B,0.6B,4,0.6817,3.655,2507.4,e82ee8e8813c
20260922T101303,0,spec_g4,unique,0.0,8,4096,1024,65536,3074.68,5950.52,,3074.68,4737.8,7397.1,4737.8,,0.0,66.7,82.45,137.7,7.439,4096,0.0,0,0,1,149,6,2048,1.91,45.87,82.19,False,False,fcfs,python,8B,0.6B,4,0.654,3.556,2515.0,e82ee8e8813c
20260922T101303,1,spec_g4,unique,0.0,8,4096,1024,65536,3073.64,5952.05,,3073.64,4738.1,7398.8,4738.1,,0.0,66.85,82.84,137.6,7.441,4096,0.0,0,0,1,149,6,2048,1.91,45.87,82.47,False,False,fcfs,python,8B,0.6B,4,0.654,3.556,2452.5,e82ee8e8813c
20260922T102304,0,spec_g4,unique,0.0,16,8192,2048,65536,3439.57,6867.28,,3439.57,5429.0,10002.7,5429.0,,0.0,81.4,81.72,201.8,10.15,8192,0.0,0,0,1,190,12,2048,3.36,47.28,81.29,False,False,fcfs,python,8B,0.6B,4,0.5399,3.124,2498.25,e82ee8e8813c
20260922T102304,1,spec_g4,unique,0.0,16,8192,2048,65536,3439.85,6870.2,,3439.85,5430.3,10007.2,5430.3,,0.0,81.31,81.98,201.7,10.155,8192,0.0,0,0,1,190,12,2048,3.36,47.3,81.34,False,False,fcfs,python,8B,0.6B,4,0.5399,3.124,2438.57,e82ee8e8813c
20260922T103329,0,spec_g4,unique,0.0,32,16384,4096,65536,3951.92,9338.62,,3951.92,6640.7,11092.5,6640.7,,0.0,82.79,192.39,367.1,11.159,16384,0.0,0,0,1,166,25,2048,7.48,52.8,88.0,False,False,fcfs,python,8B,0.6B,4,0.5427,3.134,2477.73,e82ee8e8813c
20260922T103329,1,spec_g4,unique,0.0,32,16384,4096,65536,3951.18,9340.33,,3951.18,6641.5,11097.0,6641.5,,0.0,82.77,192.66,366.9,11.164,16384,0.0,0,0,1,166,25,2048,7.48,52.85,87.83,False,False,fcfs,python,8B,0.6B,4,0.5427,3.134,2404.77,e82ee8e8813c
20260922T104437,0,spec_g4,unique,0.0,64,32768,8192,65536,5118.76,11500.46,,5118.76,8352.7,14435.1,8352.7,,0.0,133.96,194.95,541.1,15.138,32768,0.0,0,0,1,188,38,2048,12.41,57.72,107.61,False,False,fcfs,python,8B,0.6B,4,0.5762,3.257,2422.24,e82ee8e8813c
20260922T104437,1,spec_g4,unique,0.0,64,32768,8192,65536,5130.27,11498.24,,5130.27,8355.2,14425.3,8355.2,,0.0,134.17,195.29,541.5,15.127,32768,0.0,0,0,1,188,38,2048,12.41,57.6,107.88,False,False,fcfs,python,8B,0.6B,4,0.5762,3.257,2378.28,e82ee8e8813c
20260922T105853,0,spec_g4,unique,0.0,128,65536,16384,65536,7225.87,16225.09,,7225.87,12044.3,20151.7,12044.3,,0.0,197.41,198.48,810.7,20.209,65536,0.0,0,0,1,166,70,2048,26.4,69.74,120.39,False,False,fcfs,python,8B,0.6B,4,0.5717,3.249,2390.53,e82ee8e8813c
20260922T105853,1,spec_g4,unique,0.0,128,65536,16384,65536,7242.43,16253.99,,7242.43,12064.7,20174.3,12064.7,,0.0,198.0,199.33,809.9,20.23,65536,0.0,0,0,1,166,70,2048,26.4,69.62,120.97,False,False,fcfs,python,8B,0.6B,4,0.5717,3.249,2346.54,e82ee8e8813c
20260922T111511,0,spec_g4,unique,0.0,256,131072,32768,65536,11901.02,25723.91,,11901.02,19006.5,30887.4,19006.5,,0.0,203.06,204.69,1050.9,31.182,131072,0.0,0,0,1,160,124,2048,47.96,88.42,135.64,False,False,fcfs,python,8B,0.6B,4,0.5831,3.296,2235.51,e82ee8e8813c
20260922T111511,1,spec_g4,unique,0.0,256,131072,32768,65536,11932.27,25798.02,,11932.27,19057.3,30948.4,19057.3,,0.0,204.24,204.79,1048.8,31.243,131072,0.0,0,0,1,160,124,2048,47.96,88.33,136.24,False,False,fcfs,python,8B,0.6B,4,0.5831,3.296,2254.91,e82ee8e8813c
