run_id,run,arm,engine,workload,requests,prompt_tokens,output_tokens,kv_pool_tokens,max_running,output_tok_s,span_s,spec_tokens_per_round,spec_algorithm,spec_steps,spec_topk,spec_draft_tokens,sm_mhz_mean,sglang_version,git_commit
20260922T095354,0,plain,sglang,unique,8,4096,1024,65536,1,45.8,22.341,,,,,,2510.12,0.5.10,e82ee8e8813c
20260922T095354,1,plain,sglang,unique,8,4096,1024,65536,1,46.1,22.205,,,,,,2520.0,0.5.10,e82ee8e8813c
20260922T095707,0,standalone,sglang,unique,8,4096,1024,65536,1,94.7,10.816,3.5804,STANDALONE,4,1,5,2515.23,0.5.10,e82ee8e8813c
20260922T095707,1,standalone,sglang,unique,8,4096,1024,65536,1,95.6,10.706,3.5804,STANDALONE,4,1,5,2520.0,0.5.10,e82ee8e8813c
20260922T095858,0,eagle3,sglang,unique,8,4096,1024,65536,1,68.8,14.885,2.1603,EAGLE3,4,1,5,2503.45,0.5.10,e82ee8e8813c
20260922T095858,1,eagle3,sglang,unique,8,4096,1024,65536,1,69.2,14.795,2.1603,EAGLE3,4,1,5,2520.0,0.5.10,e82ee8e8813c
20260922T100052,0,eagle3_auto,sglang,unique,8,4096,1024,65536,1,67.9,15.071,2.0439,EAGLE3,3,1,4,2517.41,0.5.10,e82ee8e8813c
20260922T100052,1,eagle3_auto,sglang,unique,8,4096,1024,65536,1,67.9,15.073,2.0358,EAGLE3,3,1,4,2520.0,0.5.10,e82ee8e8813c
20260922T100606,0,plain,sglang,unique,8,4096,1024,65536,2,85.2,12.015,,,,,,2517.39,0.5.10,e82ee8e8813c
20260922T100606,1,plain,sglang,unique,8,4096,1024,65536,2,86.6,11.83,,,,,,2520.0,0.5.10,e82ee8e8813c
20260922T101009,0,eagle3,sglang,unique,8,4096,1024,65536,2,117.4,8.725,2.188,EAGLE3,4,1,5,2504.12,0.5.10,e82ee8e8813c
20260922T101009,1,eagle3,sglang,unique,8,4096,1024,65536,2,114.5,8.944,2.1378,EAGLE3,4,1,5,2520.0,0.5.10,e82ee8e8813c
20260922T101153,0,eagle3_auto,sglang,unique,8,4096,1024,65536,2,115.9,8.837,2.0157,EAGLE3,3,1,4,2509.17,0.5.10,e82ee8e8813c
