run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,block_backend,target_model,draft_model,spec_gamma,spec_alpha,spec_tokens_per_round,sm_mhz_mean,git_commit
20260922T051138,0,overlap_on,unique,0.0,32,16384,8192,32768,2195.77,4337.27,,2195.77,3563.4,5685.1,3563.4,,5.29,5.45,27.68,1441.0,5.685,16384,0.0,0,0,1,1017,11,2048,7.98,5.34,17.12,True,True,fcfs,python,0.6B,,0,,,2520.0,a150681c4e7a
20260922T051138,1,overlap_off,unique,0.0,32,16384,8192,32768,2297.72,4552.9,,2297.72,3756.2,5994.4,3756.2,,5.59,5.92,27.41,1366.6,5.994,16384,0.0,0,0,1,1014,11,2048,7.99,5.58,26.65,True,False,fcfs,python,0.6B,,0,,,2520.0,a150681c4e7a
20260922T051138,2,overlap_off,unique,0.0,32,16384,8192,32768,2298.3,4553.02,,2298.3,3756.2,5993.8,3756.2,,5.59,5.93,27.35,1366.8,5.994,16384,0.0,0,0,1,1014,11,2048,7.99,5.58,26.72,True,False,fcfs,python,0.6B,,0,,,2520.0,a150681c4e7a
20260922T051138,3,overlap_on,unique,0.0,32,16384,8192,32768,2194.49,4335.16,,2194.49,3562.2,5683.1,3562.2,,5.29,5.45,27.25,1441.5,5.683,16384,0.0,0,0,1,1017,11,2048,7.98,5.33,17.06,True,True,fcfs,python,0.6B,,0,,,2518.75,a150681c4e7a
20260922T051138,4,overlap_on,unique,0.0,32,16384,8192,32768,2196.2,4336.53,,2196.2,3563.7,5684.9,3563.7,,5.29,5.45,27.08,1441.0,5.685,16384,0.0,0,0,1,1017,11,2048,7.98,5.34,17.03,True,True,fcfs,python,0.6B,,0,,,2520.0,a150681c4e7a
20260922T051138,5,overlap_off,unique,0.0,32,16384,8192,32768,2295.62,4549.16,,2295.62,3753.3,5990.6,3753.3,,5.59,5.92,27.44,1367.5,5.991,16384,0.0,0,0,1,1014,11,2048,7.99,5.58,26.6,True,False,fcfs,python,0.6B,,0,,,2518.85,a150681c4e7a
20260922T051242,0,overlap_on,unique,0.0,128,65536,32768,32768,3467.95,6884.07,,3467.95,5620.0,8906.8,5620.0,,8.0,27.26,28.17,3679.0,8.907,65536,0.0,0,0,1,999,35,2048,31.87,7.98,24.13,True,True,fcfs,python,0.6B,,0,,,2505.0,a150681c4e7a
20260922T051242,1,overlap_off,unique,0.0,128,65536,32768,32768,3628.26,7203.07,,3628.26,5909.2,9372.3,5909.2,,8.47,27.42,28.22,3496.3,9.372,65536,0.0,0,0,1,996,35,2048,31.88,8.39,27.27,True,False,fcfs,python,0.6B,,0,,,2517.63,a150681c4e7a
20260922T051242,2,overlap_off,unique,0.0,128,65536,32768,32768,3626.99,7204.67,,3626.99,5909.1,9373.5,5909.1,,8.47,27.49,27.92,3495.8,9.374,65536,0.0,0,0,1,996,35,2048,31.88,8.39,27.3,True,False,fcfs,python,0.6B,,0,,,2514.47,a150681c4e7a
20260922T051242,3,overlap_on,unique,0.0,128,65536,32768,32768,3469.33,6888.45,,3469.33,5622.6,8910.7,5622.6,,8.0,27.19,28.14,3677.4,8.911,65536,0.0,0,0,1,999,35,2048,31.87,7.99,24.07,True,True,fcfs,python,0.6B,,0,,,2509.17,a150681c4e7a
20260922T051242,4,overlap_on,unique,0.0,128,65536,32768,32768,3468.35,6885.84,,3468.35,5620.7,8906.7,5620.7,,8.0,27.15,27.53,3679.0,8.907,65536,0.0,0,0,1,999,35,2048,31.87,7.99,24.01,True,True,fcfs,python,0.6B,,0,,,2516.67,a150681c4e7a
20260922T051242,5,overlap_off,unique,0.0,128,65536,32768,32768,3621.57,7192.89,,3621.57,5900.4,9360.0,5900.4,,8.45,27.4,28.18,3500.8,9.36,65536,0.0,0,0,1,996,35,2048,31.88,8.38,27.19,True,False,fcfs,python,0.6B,,0,,,2507.37,a150681c4e7a
