run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,block_backend,target_model,draft_model,spec_gamma,spec_alpha,spec_tokens_per_round,sm_mhz_mean,git_commit
20260925T221423,0,default,shared,0.0,4096,2228224,131072,334992,9123.43,17145.77,,9123.43,10109.8,18296.1,10109.8,,33.57,36.67,41.34,7148.6,18.335,771648,0.6537,1456576,0,1,33,531,2048,119.45,10.91,33.48,True,True,cache,python,0.6B,,0,,,2481.25,3ba10e78f3c2
20260925T221423,1,default,shared,0.0,4096,2228224,131072,334992,9186.16,17255.48,,9186.16,10174.0,18407.8,10174.0,,33.84,37.4,38.56,7105.3,18.447,771648,0.6537,1456576,0,1,33,531,2048,119.45,11.0,33.69,True,True,cache,python,0.6B,,0,,,2472.5,3ba10e78f3c2
20260925T221535,0,default,shared,0.0,4096,2228224,131072,334992,8419.69,15778.76,,8419.69,9310.8,16853.7,9310.8,,30.88,33.82,34.94,7758.7,16.893,771648,0.6537,1456576,0,1,33,531,2048,119.45,10.86,30.8,True,True,cache,cpp,0.6B,,0,,,2418.64,10c0a1e61973
20260925T221535,1,default,shared,0.0,4096,2228224,131072,334992,8476.39,15840.52,,8476.39,9364.2,16920.6,9364.2,,31.0,34.15,34.57,7728.2,16.96,771648,0.6537,1456576,0,1,33,531,2048,119.45,10.89,30.91,True,True,cache,cpp,0.6B,,0,,,2409.55,10c0a1e61973
20260925T221642,0,default,shared,0.0,4096,2228224,131072,334992,8351.58,15692.98,,8351.58,9244.3,16773.2,9244.3,,30.7,33.63,34.64,7796.0,16.813,771648,0.6537,1456576,0,1,33,531,2048,119.45,10.84,30.64,True,True,cache,cpp,0.6B,,0,,,2420.45,3ba10e78f3c2
20260925T221642,1,default,shared,0.0,4096,2228224,131072,334992,8365.84,15719.99,,8365.84,9265.6,16801.8,9265.6,,30.73,33.67,35.17,7782.7,16.841,771648,0.6537,1456576,0,1,33,531,2048,119.45,10.85,30.68,True,True,cache,cpp,0.6B,,0,,,2403.64,3ba10e78f3c2
20260925T221749,0,default,shared,0.0,4096,2228224,131072,334992,8397.79,15779.6,,8397.79,9296.9,16864.8,9296.9,,30.88,33.91,37.08,7753.8,16.904,771648,0.6537,1456576,0,1,33,531,2048,119.45,10.85,30.81,True,True,cache,cpp,0.6B,,0,,,2401.82,3ba10e78f3c2
20260925T221749,1,default,shared,0.0,4096,2228224,131072,334992,8414.17,15807.78,,8414.17,9316.5,16893.7,9316.5,,30.92,34.07,35.83,7740.5,16.933,771648,0.6537,1456576,0,1,33,531,2048,119.45,10.92,30.85,True,True,cache,cpp,0.6B,,0,,,2417.27,3ba10e78f3c2
20260925T221857,0,default,shared,0.0,4096,2228224,131072,334992,8463.98,15849.73,,8463.98,9357.2,16930.8,9357.2,,31.04,34.41,35.18,7723.6,16.97,771648,0.6537,1456576,0,1,33,531,2048,119.45,10.86,30.94,True,True,cache,cpp,0.6B,,0,,,2425.45,10c0a1e61973
20260925T221857,1,default,shared,0.0,4096,2228224,131072,334992,8489.81,15894.27,,8489.81,9386.6,16976.5,9386.6,,31.12,34.22,34.68,7702.8,17.016,771648,0.6537,1456576,0,1,33,531,2048,119.45,10.91,31.01,True,True,cache,cpp,0.6B,,0,,,2387.73,10c0a1e61973
20260925T222004,0,default,shared,0.0,4096,2228224,131072,334992,9084.39,17094.01,,9084.39,10077.4,18240.0,10077.4,,33.39,37.11,41.83,7170.5,18.279,771648,0.6537,1456576,0,1,33,531,2048,119.45,10.98,33.37,True,True,cache,python,0.6B,,0,,,2411.57,3ba10e78f3c2
20260925T222004,1,default,shared,0.0,4096,2228224,131072,334992,9106.06,17119.58,,9106.06,10091.5,18266.0,10091.5,,33.52,37.17,39.07,7160.3,18.305,771648,0.6537,1456576,0,1,33,531,2048,119.45,10.94,33.43,True,True,cache,python,0.6B,,0,,,2403.43,3ba10e78f3c2
