run_id,device,kernel,dtype,size,iters,ms_median,bytes,flops,gb_s,tflop_s,spec_mem_gb_s,pct_of_spec,git_commit
20260919T190340,NVIDIA L40S,copy,bfloat16,64MiB,50,0.1956,134217728,0,686.2,,864.0,79.4,955909bbe8f0
20260919T190340,NVIDIA L40S,copy,bfloat16,256MiB,50,0.8284,536870912,0,648.1,,864.0,75.0,955909bbe8f0
20260919T190340,NVIDIA L40S,copy,bfloat16,1024MiB,50,3.2809,2147483648,0,654.5,,864.0,75.8,955909bbe8f0
20260919T190340,NVIDIA L40S,gemm,bfloat16,2048,50,0.0727,0,17179869184,,236.3,,,955909bbe8f0
20260919T190340,NVIDIA L40S,gemm,bfloat16,4096,50,0.5207,0,137438953472,,263.95,,,955909bbe8f0
20260919T190340,NVIDIA L40S,gemm,bfloat16,8192,50,5.7856,0,1099511627776,,190.04,,,955909bbe8f0
20260922T050710,NVIDIA L40S,copy,bfloat16,64MiB,50,0.1966,134217728,0,682.7,,864.0,79.0,a150681c4e7a
20260922T050710,NVIDIA L40S,copy,bfloat16,256MiB,50,0.8284,536870912,0,648.1,,864.0,75.0,a150681c4e7a
20260922T050710,NVIDIA L40S,copy,bfloat16,1024MiB,50,3.2829,2147483648,0,654.1,,864.0,75.7,a150681c4e7a
20260922T050710,NVIDIA L40S,read,bfloat16,64MiB,50,0.0328,67108864,0,2048.0,,864.0,237.0,a150681c4e7a
20260922T050710,NVIDIA L40S,read,bfloat16,256MiB,50,0.3635,268435456,0,738.4,,864.0,85.5,a150681c4e7a
20260922T050710,NVIDIA L40S,read,bfloat16,1024MiB,50,1.4377,1073741824,0,746.8,,864.0,86.4,a150681c4e7a
20260922T050710,NVIDIA L40S,gemm,bfloat16,2048,50,0.0748,0,17179869184,,229.82,,,a150681c4e7a
20260922T050710,NVIDIA L40S,gemm,bfloat16,4096,50,0.5202,0,137438953472,,264.21,,,a150681c4e7a
20260922T050710,NVIDIA L40S,gemm,bfloat16,8192,50,5.7861,0,1099511627776,,190.03,,,a150681c4e7a
