run_id,run,arm,workload,arrival_rate,requests,prompt_len,output_len,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,itl_p50_ms,itl_p99_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mean_decode_batch,sm_mhz_mean,git_commit
20260919T074653,0,radix_on,shared,0.0,64,1088,64,32768,1234.01,1234.01,23.92,29.85,1489.2,2.751,17408,0.75,52224,0,3,63,64.0,2520.0,a40a8831342a
20260919T074653,1,radix_off,shared,0.0,64,1088,64,32768,4617.41,8739.98,28.85,632.22,410.4,9.981,71844,0.0,0,2,12,189,21.32,2520.0,a40a8831342a
20260919T074653,2,radix_off,shared,0.0,64,1088,64,32768,4636.46,8831.11,29.25,633.15,406.0,10.089,71844,0.0,0,2,12,189,21.32,2520.0,a40a8831342a
20260919T074653,3,radix_on,shared,0.0,64,1088,64,32768,1238.54,1238.54,24.08,27.76,1487.3,2.754,17408,0.75,52224,0,3,63,64.0,2520.0,a40a8831342a
20260919T074653,4,radix_on,shared,0.0,64,1088,64,32768,1238.93,1238.93,24.01,26.97,1486.3,2.756,17408,0.75,52224,0,3,63,64.0,2520.0,a40a8831342a
20260919T074653,5,radix_off,shared,0.0,64,1088,64,32768,4629.78,8762.98,28.94,636.75,409.4,10.005,71844,0.0,0,2,12,189,21.32,2520.0,a40a8831342a
20260919T075828,0,radix_on,shared,4.0,64,1088,64,32768,30.98,74.31,19.26,42.52,258.6,15.838,12288,0.8235,57344,0,61,719,5.61,2520.94,29eb3b557dd5
20260919T075828,1,radix_off,shared,4.0,64,1088,64,32768,75.29,135.9,19.42,142.39,258.2,15.862,69632,0.0,0,0,59,597,6.75,2520.0,29eb3b557dd5
20260919T075828,2,radix_off,shared,4.0,64,1088,64,32768,73.37,134.22,19.62,142.21,258.3,15.859,69632,0.0,0,0,59,595,6.78,2520.0,29eb3b557dd5
20260919T075828,3,radix_on,shared,4.0,64,1088,64,32768,31.03,78.33,19.26,58.87,258.8,15.825,13312,0.8088,56320,0,62,715,5.64,2520.0,29eb3b557dd5
20260919T075828,4,radix_on,shared,4.0,64,1088,64,32768,30.89,77.69,19.33,42.46,258.8,15.828,12288,0.8235,57344,0,60,716,5.63,2520.0,29eb3b557dd5
20260919T075828,5,radix_off,shared,4.0,64,1088,64,32768,74.44,134.61,19.38,141.17,258.2,15.865,69632,0.0,0,0,60,600,6.72,2520.0,29eb3b557dd5
20260919T080030,0,radix_on,unique,0.0,64,1088,64,32768,4504.92,8568.71,28.87,610.6,416.3,9.839,71844,0.0,0,2,12,189,21.32,2520.0,29eb3b557dd5
20260919T080030,1,radix_off,unique,0.0,64,1088,64,32768,4500.65,8495.2,28.17,613.96,420.3,9.745,71844,0.0,0,2,12,189,21.32,2520.0,29eb3b557dd5
20260919T080030,2,radix_off,unique,0.0,64,1088,64,32768,4456.89,8436.01,28.05,611.37,423.5,9.672,71844,0.0,0,2,12,189,21.32,2520.0,29eb3b557dd5
20260919T080030,3,radix_on,unique,0.0,64,1088,64,32768,4449.57,8486.41,28.32,610.71,420.2,9.749,71844,0.0,0,2,12,189,21.32,2520.0,29eb3b557dd5
20260919T080030,4,radix_on,unique,0.0,64,1088,64,32768,4488.22,8497.16,28.2,615.16,420.7,9.737,71844,0.0,0,2,12,189,21.32,2520.0,29eb3b557dd5
20260919T080030,5,radix_off,unique,0.0,64,1088,64,32768,4451.06,8436.79,28.06,611.6,423.1,9.681,71844,0.0,0,2,12,189,21.32,2520.0,29eb3b557dd5
20260919T080158,0,radix_on,unique,4.0,64,1088,64,32768,74.0,137.42,19.91,143.89,237.1,17.276,69632,0.0,0,0,62,668,6.04,2520.0,29eb3b557dd5
20260919T080158,1,radix_off,unique,4.0,64,1088,64,32768,70.93,132.45,19.72,141.51,237.2,17.271,69632,0.0,0,0,62,673,5.99,2520.0,29eb3b557dd5
20260919T080158,2,radix_off,unique,4.0,64,1088,64,32768,74.53,137.35,19.9,142.78,237.3,17.264,69632,0.0,0,0,62,667,6.04,2520.0,29eb3b557dd5
20260919T080158,3,radix_on,unique,4.0,64,1088,64,32768,71.16,132.19,19.81,142.69,236.7,17.303,69632,0.0,0,0,62,673,5.99,2520.0,29eb3b557dd5
20260919T080158,4,radix_on,unique,4.0,64,1088,64,32768,72.49,126.7,19.94,143.19,237.3,17.26,69632,0.0,0,0,62,666,6.05,2520.0,29eb3b557dd5
20260919T080158,5,radix_off,unique,4.0,64,1088,64,32768,73.24,137.27,19.99,145.37,236.9,17.29,69632,0.0,0,0,62,667,6.04,2520.0,29eb3b557dd5
