run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,sm_mhz_mean,git_commit
20260919T182152,0,graph_on,mixed,4.0,64,38912,7296,32768,31.24,258.33,210.65,29.77,8.6,29.99,142.29,411.7,17.72,38912,0.0,0,0,3,1743,64,2048,3.99,8.44,42.7,True,2520.0,83fed097e0e6
20260919T182152,1,graph_off,mixed,4.0,64,38912,7296,32768,36.7,264.52,224.6,35.75,19.75,123.62,143.73,379.8,19.21,38912,0.0,0,0,1,820,65,2048,8.12,19.77,45.59,False,2520.0,83fed097e0e6
20260919T182152,2,graph_off,mixed,4.0,64,38912,7296,32768,39.77,261.77,224.1,38.73,19.7,123.79,143.22,379.8,19.211,38912,0.0,0,0,1,822,64,2048,8.11,19.75,45.95,False,2520.0,83fed097e0e6
20260919T182152,3,graph_on,mixed,4.0,64,38912,7296,32768,30.61,257.22,211.73,29.31,8.62,30.0,142.38,411.8,17.718,38912,0.0,0,0,3,1738,65,2048,4.0,8.45,42.32,True,2520.0,83fed097e0e6
20260919T182152,4,graph_on,mixed,4.0,64,38912,7296,32768,31.74,258.07,211.04,30.55,8.61,29.77,142.19,411.6,17.727,38912,0.0,0,0,3,1740,64,2048,4.0,8.46,42.71,True,2520.0,83fed097e0e6
20260919T182152,5,graph_off,mixed,4.0,64,38912,7296,32768,36.25,266.51,229.92,34.71,19.87,124.02,144.19,379.2,19.242,38912,0.0,0,0,1,814,64,2048,8.19,19.94,46.44,False,2520.0,83fed097e0e6
20260919T182412,0,graph_on,unique,0.0,64,69632,4096,32768,3453.92,6651.32,,3453.92,24.19,129.65,588.75,538.6,7.605,71780,0.0,64,2,1,158,38,2048,20.39,19.46,116.14,True,2520.0,83fed097e0e6
20260919T182412,1,graph_off,unique,0.0,64,69632,4096,32768,3702.54,7136.63,,3702.54,29.21,129.94,694.44,475.1,8.622,71780,0.0,64,2,1,158,38,2048,20.39,25.85,116.3,False,2520.0,83fed097e0e6
20260919T182412,2,graph_off,unique,0.0,64,69632,4096,32768,3696.32,7132.46,,3696.32,29.11,129.72,698.02,474.8,8.627,71780,0.0,64,2,1,158,38,2048,20.39,25.89,116.24,False,2520.0,83fed097e0e6
20260919T182412,3,graph_on,unique,0.0,64,69632,4096,32768,3462.75,6663.07,,3462.75,24.18,130.01,586.96,537.9,7.615,71780,0.0,64,2,1,158,38,2048,20.39,19.44,116.43,True,2517.19,83fed097e0e6
20260919T182412,4,graph_on,unique,0.0,64,69632,4096,32768,3469.91,6684.06,,3469.91,24.29,130.59,594.73,536.3,7.638,71780,0.0,64,2,1,158,38,2048,20.39,19.52,116.72,True,2511.56,83fed097e0e6
20260919T182412,5,graph_off,unique,0.0,64,69632,4096,32768,3710.46,7153.12,,3710.46,29.16,130.07,695.17,474.1,8.639,71780,0.0,64,2,1,158,38,2048,20.39,25.85,116.73,False,2512.11,83fed097e0e6
20260919T182723,0,graph_on,unique,0.0,4,4352,1024,32768,227.82,251.54,,227.82,10.09,10.76,114.35,361.5,2.833,4352,0.0,0,0,1,255,2,2048,3.98,10.1,71.11,True,2520.0,83fed097e0e6
20260919T182723,1,graph_off,unique,0.0,4,4352,1024,32768,226.91,250.32,,226.91,19.52,22.12,113.48,194.3,5.27,4352,0.0,0,0,1,255,2,2048,3.98,19.66,70.5,False,2520.0,83fed097e0e6
20260919T182723,2,graph_off,unique,0.0,4,4352,1024,32768,227.16,250.7,,227.16,19.62,21.77,113.62,193.7,5.286,4352,0.0,0,0,1,255,2,2048,3.98,19.72,70.64,False,2520.0,83fed097e0e6
20260919T182723,3,graph_on,unique,0.0,4,4352,1024,32768,227.09,250.6,,227.09,10.13,10.95,113.36,361.1,2.836,4352,0.0,0,0,1,255,2,2048,3.98,10.11,70.49,True,2520.0,83fed097e0e6
20260919T182723,4,graph_on,unique,0.0,4,4352,1024,32768,226.04,249.33,,226.04,10.08,10.66,112.99,362.4,2.825,4352,0.0,0,0,1,255,2,2048,3.98,10.08,70.18,True,2520.0,83fed097e0e6
20260919T182723,5,graph_off,unique,0.0,4,4352,1024,32768,226.3,249.89,,226.3,19.56,22.89,113.34,193.0,5.306,4352,0.0,0,0,1,255,2,2048,3.98,19.8,70.53,False,2520.0,83fed097e0e6
