run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,sm_mhz_mean,git_commit
20260919T203626,0,policy_cache,policy,0.0,128,69632,19936,6144,8722.3,15714.36,1376.69,9130.04,8855.9,20944.7,7451.5,21023.8,10.59,35.52,7197.24,947.4,21.044,28513,0.7939,78480,66,2,1812,60,2048,10.51,10.68,23.95,True,True,cache,2520.0,d8f69f1dea1e
20260919T203626,1,policy_sjf,policy,0.0,128,69632,19936,6144,2280.71,14623.74,12089.14,1815.29,6033.8,25609.9,2100.6,26796.0,10.56,30.3,5330.39,729.7,27.322,47721,0.5515,49312,44,4,2392,44,2048,8.14,10.5,40.47,True,True,sjf,2520.0,d8f69f1dea1e
20260919T203626,2,policy_fcfs,policy,0.0,128,69632,19936,6144,10947.78,20580.92,10895.08,12429.58,11838.5,25900.2,10428.5,26153.6,10.56,37.39,4614.51,758.8,26.272,48976,0.4412,39648,33,1,2227,67,2048,8.64,10.77,31.25,True,True,fcfs,2520.0,d8f69f1dea1e
20260919T203626,3,policy_fcfs,policy,0.0,128,69632,19936,6144,10958.99,20614.57,10905.88,12439.71,11853.3,25940.1,10440.7,26193.8,10.57,37.55,4619.91,757.7,26.312,48976,0.4412,39648,33,1,2227,67,2048,8.64,10.78,31.27,True,True,fcfs,2513.37,d8f69f1dea1e
20260919T203626,4,policy_sjf,policy,0.0,128,69632,19936,6144,2282.91,14636.73,12099.03,1816.56,6039.5,25631.3,2102.5,26816.6,10.58,30.59,5334.93,729.1,27.342,47721,0.5515,49312,44,4,2392,44,2048,8.14,10.5,40.49,True,True,sjf,2516.04,d8f69f1dea1e
20260919T203626,5,policy_cache,policy,0.0,128,69632,19936,6144,8712.9,15711.73,1361.33,9120.49,8849.2,20948.9,7444.6,21027.9,10.58,35.63,7201.43,947.2,21.048,28513,0.7939,78480,66,2,1812,60,2048,10.51,10.69,23.78,True,True,cache,2515.61,d8f69f1dea1e
20260919T203626,6,policy_cache,policy,0.0,128,69632,19936,6144,8707.51,15701.45,1363.36,9114.9,8844.5,20936.2,7440.4,21015.2,10.58,35.62,7194.84,947.7,21.035,28513,0.7939,78480,66,2,1812,60,2048,10.51,10.68,23.98,True,True,cache,2516.43,d8f69f1dea1e
20260919T203626,7,policy_sjf,policy,0.0,128,69632,19936,6144,2283.91,14649.36,12112.13,1817.2,6042.9,25645.6,2103.4,26833.4,10.58,30.49,5341.12,728.7,27.36,47721,0.5515,49312,44,4,2392,44,2048,8.14,10.51,40.55,True,True,sjf,2516.6,d8f69f1dea1e
20260919T203626,8,policy_fcfs,policy,0.0,128,69632,19936,6144,10980.31,20654.67,10927.0,12468.79,11878.2,25989.2,10463.4,26243.3,10.59,37.82,4625.85,756.2,26.362,48976,0.4412,39648,33,1,2227,67,2048,8.64,10.81,31.25,True,True,fcfs,2505.59,d8f69f1dea1e
20260919T204038,0,policy_cache,policy,0.0,128,69632,19936,8192,971.39,12215.63,971.39,971.39,6802.4,17552.2,5178.2,17552.2,11.64,47.91,5249.05,1135.8,17.552,28290,0.7824,79008,66,1,1382,47,2048,13.73,11.43,33.23,True,True,cache,2520.0,d8f69f1dea1e
