run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,block_backend,sm_mhz_mean,git_commit
20260920T080746,0,default,unique,0.0,256,32768,24576,32768,1012.46,5380.39,,1012.46,5575.8,6997.4,5575.8,,33.52,119.35,3532.89,3512.2,6.997,46124,0.0,0,81,1,177,23,2048,122.79,24.56,108.39,True,True,fcfs,python,2520.0,23ce162b5344
20260920T080746,1,default,unique,0.0,256,32768,24576,32768,1016.09,5362.33,,1016.09,5557.3,6974.4,5557.3,,33.33,118.74,3514.94,3523.7,6.974,46124,0.0,0,81,1,177,23,2048,122.79,24.45,108.24,True,True,fcfs,python,2520.0,23ce162b5344
20260920T080746,2,default,unique,0.0,256,32768,24576,32768,1013.42,5352.14,,1013.42,5547.1,6962.2,5547.1,,33.29,118.25,3509.11,3529.9,6.962,46124,0.0,0,81,1,177,23,2048,122.79,24.41,108.03,True,True,fcfs,python,2520.0,23ce162b5344
20260920T080832,0,default,unique,0.0,256,32768,24576,32768,1013.39,5348.97,,1013.39,5543.4,6957.6,5543.4,,33.26,118.42,3506.47,3532.2,6.958,46124,0.0,0,81,1,177,23,2048,122.79,24.39,107.98,True,True,fcfs,cpp,2520.0,23ce162b5344
20260920T080832,1,default,unique,0.0,256,32768,24576,32768,1011.83,5343.98,,1011.83,5538.9,6952.9,5538.9,,33.23,118.53,3504.15,3534.6,6.953,46124,0.0,0,81,1,177,23,2048,122.79,24.39,107.82,True,True,fcfs,cpp,2520.0,23ce162b5344
20260920T080832,2,default,unique,0.0,256,32768,24576,32768,1011.26,5379.51,,1011.26,5575.4,6998.6,5575.4,,33.57,117.98,3539.88,3511.6,6.999,46124,0.0,0,81,1,177,23,2048,122.79,24.6,108.15,True,True,fcfs,cpp,2520.0,23ce162b5344
20260920T080917,0,default,unique,0.0,256,32768,24576,32768,1013.19,5378.14,,1013.19,5573.8,6994.7,5573.8,,33.49,119.06,3529.31,3513.5,6.995,46124,0.0,0,81,1,177,23,2048,122.79,24.55,108.41,True,True,fcfs,cpp,2520.0,23ce162b5344
20260920T080917,1,default,unique,0.0,256,32768,24576,32768,1015.99,5360.71,,1015.99,5556.1,6973.0,5556.1,,33.33,118.57,3513.87,3524.4,6.973,46124,0.0,0,81,1,177,23,2048,122.79,24.45,108.17,True,True,fcfs,cpp,2520.0,23ce162b5344
20260920T080917,2,default,unique,0.0,256,32768,24576,32768,1013.27,5347.25,,1013.27,5543.2,6959.5,5543.2,,33.27,118.2,3505.52,3531.3,6.96,46124,0.0,0,81,1,177,23,2048,122.79,24.41,107.93,True,True,fcfs,cpp,2517.0,23ce162b5344
20260920T081002,0,default,unique,0.0,256,32768,24576,32768,1015.42,5359.31,,1015.42,5554.2,6971.3,5554.2,,33.3,118.7,3512.55,3525.3,6.971,46124,0.0,0,81,1,177,23,2048,122.79,24.43,108.23,True,True,fcfs,python,2505.0,23ce162b5344
20260920T081002,1,default,unique,0.0,256,32768,24576,32768,1014.0,5355.99,,1014.0,5550.8,6967.6,5550.8,,33.28,118.87,3511.3,3527.2,6.968,46124,0.0,0,81,1,177,23,2048,122.79,24.42,108.18,True,True,fcfs,python,2505.0,23ce162b5344
20260920T081002,2,default,unique,0.0,256,32768,24576,32768,1014.17,5389.27,,1014.17,5585.2,7009.6,5585.2,,33.58,119.35,3538.41,3506.0,7.01,46124,0.0,0,81,1,177,23,2048,122.79,24.6,108.63,True,True,fcfs,python,2505.0,23ce162b5344
