run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,block_backend,target_model,draft_model,spec_gamma,spec_alpha,spec_tokens_per_round,sm_mhz_mean,git_commit
20260922T050327,0,default,unique,0.0,256,32768,24576,32768,3065.82,5962.56,,3065.82,4685.2,7385.5,4685.2,,14.95,109.91,111.52,3325.6,7.39,32768,0.0,0,0,1,371,19,2048,63.47,15.15,84.48,True,True,fcfs,python,0.6B,,0,,,2520.0,04c31f8876a6
20260922T050327,1,default,unique,0.0,256,32768,24576,32768,3059.99,5964.94,,3059.99,4680.9,7379.0,4680.9,,14.87,110.31,111.75,3328.5,7.383,32768,0.0,0,0,1,371,19,2048,63.47,15.12,84.66,True,True,fcfs,python,0.6B,,0,,,2520.0,04c31f8876a6
20260922T050327,2,default,unique,0.0,256,32768,24576,32768,3068.9,5970.94,,3068.9,4689.7,7393.3,4689.7,,14.93,110.36,113.24,3322.0,7.398,32768,0.0,0,0,1,371,19,2048,63.47,15.15,84.86,True,True,fcfs,python,0.6B,,0,,,2510.62,04c31f8876a6
20260922T050500,0,default,unique,0.0,256,32768,24576,32768,3063.78,5966.17,,3063.78,4683.8,7381.9,4683.8,,14.91,109.59,111.74,3327.2,7.386,32768,0.0,0,0,1,371,19,2048,63.47,15.14,84.62,True,True,fcfs,cpp,0.6B,,0,,,2520.0,04c31f8876a6
20260922T050500,1,default,unique,0.0,256,32768,24576,32768,3068.07,5970.13,,3068.07,4688.6,7391.7,4688.6,,14.97,109.82,112.57,3322.7,7.396,32768,0.0,0,0,1,371,19,2048,63.47,15.15,84.77,True,True,fcfs,cpp,0.6B,,0,,,2520.0,04c31f8876a6
20260922T050500,2,default,unique,0.0,256,32768,24576,32768,3061.49,5972.9,,3061.49,4684.9,7386.2,4684.9,,14.9,110.21,113.11,3325.3,7.391,32768,0.0,0,0,1,371,19,2048,63.47,15.13,85.0,True,True,fcfs,cpp,0.6B,,0,,,2520.0,04c31f8876a6
20260922T050633,0,default,unique,0.0,256,32768,24576,32768,3065.06,5968.88,,3065.06,4685.9,7383.2,4685.9,,14.93,109.56,111.59,3326.6,7.388,32768,0.0,0,0,1,371,19,2048,63.47,15.14,84.45,True,True,fcfs,cpp,0.6B,,0,,,2520.0,04c31f8876a6
20260922T050633,1,default,unique,0.0,256,32768,24576,32768,3064.95,5964.57,,3064.95,4683.4,7381.5,4683.4,,14.91,110.01,112.71,3327.3,7.386,32768,0.0,0,0,1,371,19,2048,63.47,15.13,84.74,True,True,fcfs,cpp,0.6B,,0,,,2520.0,04c31f8876a6
20260922T050633,2,default,unique,0.0,256,32768,24576,32768,3061.41,5964.54,,3061.41,4682.1,7380.0,4682.1,,14.91,109.85,111.76,3328.1,7.384,32768,0.0,0,0,1,371,19,2048,63.47,15.12,84.64,True,True,fcfs,cpp,0.6B,,0,,,2520.0,04c31f8876a6
20260922T050808,0,default,unique,0.0,256,32768,24576,32768,3070.28,5973.36,,3070.28,4690.3,7390.6,4690.3,,14.94,110.03,111.85,3323.2,7.395,32768,0.0,0,0,1,371,19,2048,63.47,15.14,84.78,True,True,fcfs,python,0.6B,,0,,,2520.0,04c31f8876a6
20260922T050808,1,default,unique,0.0,256,32768,24576,32768,3064.11,5966.18,,3064.11,4683.8,7380.8,4683.8,,14.91,110.18,112.54,3327.7,7.385,32768,0.0,0,0,1,371,19,2048,63.47,15.13,84.53,True,True,fcfs,python,0.6B,,0,,,2520.0,04c31f8876a6
20260922T050808,2,default,unique,0.0,256,32768,24576,32768,3067.46,5967.23,,3067.46,4687.6,7388.3,4687.6,,14.99,110.2,111.71,3324.3,7.393,32768,0.0,0,0,1,371,19,2048,63.47,15.15,84.53,True,True,fcfs,python,0.6B,,0,,,2520.0,04c31f8876a6
