run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,block_backend,target_model,draft_model,spec_gamma,spec_alpha,spec_tokens_per_round,sm_mhz_mean,git_commit
20260921T050646,0,spec_off,unique,0.0,8,2304,512,4096,252.41,284.75,,252.41,1691.5,1708.5,1691.5,,22.26,49.76,49.76,299.4,1.71,2304,0.0,0,0,1,63,1,2048,7.89,22.33,49.74,False,False,fcfs,python,1.7B,0.6B,0,0.0,0.0,2505.0,b9c0375d8447
20260921T050646,1,spec_g2,unique,0.0,8,2304,512,4096,294.72,381.4,,294.72,1327.2,1507.0,1327.2,,0.0,133.35,133.35,339.2,1.509,2304,0.0,0,0,1,30,1,2048,6.53,36.02,133.33,False,False,fcfs,python,1.7B,0.6B,2,0.7908,2.536,2505.0,b9c0375d8447
20260921T050646,2,spec_g4,unique,0.0,8,2304,512,4096,289.79,376.85,,289.79,1343.2,1816.2,1343.2,,0.0,133.94,133.94,280.4,1.826,2304,0.0,0,0,1,27,1,2048,5.04,51.92,133.92,False,False,fcfs,python,1.7B,0.6B,4,0.7059,3.654,2505.0,b9c0375d8447
20260921T050646,3,spec_g6,unique,0.0,8,2304,512,4096,291.27,377.96,,291.27,1400.9,2049.8,1400.9,,0.0,133.36,133.36,248.7,2.058,2304,0.0,0,0,1,24,1,2048,4.58,68.06,133.34,False,False,fcfs,python,1.7B,0.6B,6,0.6273,4.518,2505.0,b9c0375d8447
20260921T050646,4,spec_g6,unique,0.0,8,2304,512,4096,290.24,376.19,,290.24,1395.5,2039.4,1395.5,,0.0,132.23,132.23,250.0,2.048,2304,0.0,0,0,1,24,1,2048,4.58,67.72,132.21,False,False,fcfs,python,1.7B,0.6B,6,0.6273,4.518,2505.0,b9c0375d8447
20260921T050646,5,spec_g4,unique,0.0,8,2304,512,4096,290.62,376.96,,290.62,1342.4,1816.8,1342.4,,0.0,132.82,132.82,280.3,1.827,2304,0.0,0,0,1,27,1,2048,5.04,51.96,132.8,False,False,fcfs,python,1.7B,0.6B,4,0.7059,3.654,2508.0,b9c0375d8447
20260921T050646,6,spec_g2,unique,0.0,8,2304,512,4096,292.76,379.19,,292.76,1324.2,1503.2,1324.2,,0.0,132.96,132.96,340.1,1.505,2304,0.0,0,0,1,30,1,2048,6.53,35.98,132.94,False,False,fcfs,python,1.7B,0.6B,2,0.7908,2.536,2508.75,b9c0375d8447
20260921T050646,7,spec_off,unique,0.0,8,2304,512,4096,251.75,283.77,,251.75,1696.8,1713.4,1696.8,,22.34,49.26,49.26,298.6,1.715,2304,0.0,0,0,1,63,1,2048,7.89,22.43,49.24,False,False,fcfs,python,1.7B,0.6B,0,0.0,0.0,2505.0,b9c0375d8447
20260921T050726,0,spec_off,unique,0.0,24,1920,2304,4096,228.28,228.28,,228.28,2461.2,2698.2,2461.2,,23.31,24.63,387.55,830.9,2.773,2081,0.0,0,1,2,109,0,2048,20.91,23.01,,False,False,fcfs,python,1.7B,0.6B,0,0.0,0.0,2508.75,b9c0375d8447
20260921T050726,1,spec_g2,unique,0.0,24,1920,2304,4096,264.48,264.48,,264.48,1977.3,2410.0,1977.3,,0.0,98.8,98.8,950.2,2.425,1920,0.0,0,0,1,53,0,2048,18.28,40.74,,False,False,fcfs,python,1.7B,0.6B,2,0.693,2.353,2505.0,b9c0375d8447
20260921T050726,2,spec_g4,unique,0.0,24,1920,2304,4096,267.15,267.15,,267.15,2069.3,2848.0,2069.3,,0.0,119.14,119.14,806.0,2.859,1920,0.0,0,0,1,44,0,2048,15.95,58.88,,False,False,fcfs,python,1.7B,0.6B,4,0.5759,3.248,2505.0,b9c0375d8447
20260921T050726,3,spec_g6,unique,0.0,24,1920,2304,4096,263.68,263.68,,263.68,2528.3,3694.5,2528.3,,0.0,143.65,143.65,618.9,3.722,1920,0.0,0,0,1,44,0,2048,14.75,78.58,,False,False,fcfs,python,1.7B,0.6B,6,0.4332,3.513,2505.0,b9c0375d8447
