run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,block_backend,target_model,draft_model,spec_gamma,spec_alpha,spec_tokens_per_round,sm_mhz_mean,git_commit
20260922T055640,0,overlap_on,unique,0.0,32,16384,8192,32768,4568.94,8979.01,,4568.94,7333.4,11700.5,7333.4,,10.58,11.63,104.76,700.1,11.701,16384,0.0,0,0,1,1017,11,2048,7.98,10.67,61.42,True,True,fcfs,python,0.6B,,0,,,2520.0,3221b6ea0cd0
20260922T055640,1,overlap_off,unique,0.0,32,16384,8192,32768,4589.97,9052.26,,4589.97,7430.7,11817.4,7430.7,,10.72,11.78,113.96,693.2,11.817,16384,0.0,0,0,1,1014,11,2048,7.99,10.69,77.32,True,False,fcfs,python,0.6B,,0,,,2520.0,3221b6ea0cd0
20260922T055640,2,overlap_off,unique,0.0,32,16384,8192,32768,4585.39,9046.78,,4585.39,7423.7,11807.0,7423.7,,10.68,11.77,115.55,693.8,11.807,16384,0.0,0,0,1,1014,11,2048,7.99,10.68,77.51,True,False,fcfs,python,0.6B,,0,,,2520.0,3221b6ea0cd0
20260922T055640,3,overlap_on,unique,0.0,32,16384,8192,32768,4579.44,9005.51,,4579.44,7350.5,11723.2,7350.5,,10.6,11.71,106.01,698.8,11.723,16384,0.0,0,0,1,1017,11,2048,7.98,10.7,61.51,True,True,fcfs,python,0.6B,,0,,,2520.0,3221b6ea0cd0
20260922T055640,4,overlap_on,unique,0.0,32,16384,8192,32768,4573.73,8984.69,,4573.73,7337.9,11703.8,7337.9,,10.58,11.61,104.48,699.9,11.704,16384,0.0,0,0,1,1017,11,2048,7.98,10.67,61.5,True,True,fcfs,python,0.6B,,0,,,2520.0,3221b6ea0cd0
20260922T055640,5,overlap_off,unique,0.0,32,16384,8192,32768,4589.76,9049.73,,4589.76,7428.1,11811.3,7428.1,,10.71,11.84,113.94,693.6,11.811,16384,0.0,0,0,1,1014,11,2048,7.99,10.68,77.4,True,False,fcfs,python,0.6B,,0,,,2520.0,3221b6ea0cd0
20260922T055810,0,overlap_on,unique,0.0,128,65536,32768,32768,8992.03,17800.68,,8992.03,14353.6,22615.0,14353.6,,18.79,117.08,121.59,1448.9,22.615,65536,0.0,0,0,1,999,35,2048,31.87,18.83,103.3,True,True,fcfs,python,0.6B,,0,,,2520.0,3221b6ea0cd0
20260922T055810,1,overlap_off,unique,0.0,128,65536,32768,32768,9085.59,18017.05,,9085.59,14604.3,22953.1,14604.3,,19.21,121.55,124.73,1427.6,22.953,65536,0.0,0,0,1,996,35,2048,31.88,19.02,110.38,True,False,fcfs,python,0.6B,,0,,,2520.0,3221b6ea0cd0
20260922T055810,2,overlap_off,unique,0.0,128,65536,32768,32768,9080.64,18029.15,,9080.64,14609.0,22971.5,14609.0,,19.1,122.41,125.46,1426.5,22.972,65536,0.0,0,0,1,996,35,2048,31.88,19.02,110.85,True,False,fcfs,python,0.6B,,0,,,2520.0,3221b6ea0cd0
20260922T055810,3,overlap_on,unique,0.0,128,65536,32768,32768,8951.4,17771.67,,8951.4,14325.0,22605.1,14325.0,,18.79,115.85,119.65,1449.6,22.605,65536,0.0,0,0,1,999,35,2048,31.87,18.84,102.81,True,True,fcfs,python,0.6B,,0,,,2520.0,3221b6ea0cd0
20260922T055810,4,overlap_on,unique,0.0,128,65536,32768,32768,8986.95,17798.3,,8986.95,14351.9,22618.7,14351.9,,18.82,115.54,120.17,1448.7,22.619,65536,0.0,0,0,1,999,35,2048,31.87,18.84,102.96,True,True,fcfs,python,0.6B,,0,,,2518.26,3221b6ea0cd0
20260922T055810,5,overlap_off,unique,0.0,128,65536,32768,32768,9085.44,18023.6,,9085.44,14604.9,22950.5,14604.9,,19.11,121.81,125.68,1427.8,22.951,65536,0.0,0,0,1,996,35,2048,31.88,19.0,110.77,True,False,fcfs,python,0.6B,,0,,,2518.67,3221b6ea0cd0
