run_id,device,kernel,dtype,size,iters,ms_median,bytes,flops,gb_s,tflop_s,spec_mem_gb_s,pct_of_spec,git_commit
20260919T223625,NVIDIA GeForce RTX 4060 Laptop GPU,copy,bfloat16,64MiB,50,0.64,134217728,0,209.7,,256.0,81.9,955909bbe8f0
20260919T223625,NVIDIA GeForce RTX 4060 Laptop GPU,copy,bfloat16,256MiB,50,2.6685,536870912,0,201.2,,256.0,78.6,955909bbe8f0
20260919T223625,NVIDIA GeForce RTX 4060 Laptop GPU,copy,bfloat16,1024MiB,50,10.4627,2147483648,0,205.3,,256.0,80.2,955909bbe8f0
20260919T223625,NVIDIA GeForce RTX 4060 Laptop GPU,gemm,bfloat16,2048,50,0.5853,0,17179869184,,29.35,,,955909bbe8f0
20260919T223625,NVIDIA GeForce RTX 4060 Laptop GPU,gemm,bfloat16,4096,50,4.5189,0,137438953472,,30.41,,,955909bbe8f0
20260919T223625,NVIDIA GeForce RTX 4060 Laptop GPU,gemm,bfloat16,8192,50,36.0955,0,1099511627776,,30.46,,,955909bbe8f0
20260922T054549,NVIDIA GeForce RTX 4060 Laptop GPU,copy,bfloat16,64MiB,50,0.6154,134217728,0,218.1,,256.0,85.2,539eebe99685
20260922T054549,NVIDIA GeForce RTX 4060 Laptop GPU,copy,bfloat16,256MiB,50,2.6332,536870912,0,203.9,,256.0,79.6,539eebe99685
20260922T054549,NVIDIA GeForce RTX 4060 Laptop GPU,copy,bfloat16,1024MiB,50,10.4166,2147483648,0,206.2,,256.0,80.5,539eebe99685
20260922T054549,NVIDIA GeForce RTX 4060 Laptop GPU,read,bfloat16,64MiB,50,0.2775,67108864,0,241.8,,256.0,94.5,539eebe99685
20260922T054549,NVIDIA GeForce RTX 4060 Laptop GPU,read,bfloat16,256MiB,50,1.1049,268435456,0,243.0,,256.0,94.9,539eebe99685
20260922T054549,NVIDIA GeForce RTX 4060 Laptop GPU,read,bfloat16,1024MiB,50,4.9403,1073741824,0,217.3,,256.0,84.9,539eebe99685
20260922T054549,NVIDIA GeForce RTX 4060 Laptop GPU,gemm,bfloat16,2048,50,0.5868,0,17179869184,,29.28,,,539eebe99685
20260922T054549,NVIDIA GeForce RTX 4060 Laptop GPU,gemm,bfloat16,4096,50,4.9014,0,137438953472,,28.04,,,539eebe99685
20260922T054549,NVIDIA GeForce RTX 4060 Laptop GPU,gemm,bfloat16,8192,50,36.6177,0,1099511627776,,30.03,,,539eebe99685
